created_at,skill,count,avg_price,med_price,max_price,min_price
20201209,C#,4138,59.1,60.0,150,25
20201209,VBA,1450,54.2,55.0,160,20
20201209,Vue.js,1081,71.5,70.0,140,25
20201209,C言語,1831,56.4,55.0,140,20
20201209,Oracle,2837,60.8,60.0,165,20
20201209,Slim,7,72.3,70.0,95,60
20201209,CodePipeline,1,85.0,85.0,85,85
20201209,SpringBoot,472,68.7,70.0,130,40
20201209,Ember.js,1,80.0,80.0,80,80
20201209,Seasar2,120,65.4,65.0,100,42
20201209,Kubernetes,19,87.0,80.0,150,20
20201209,Ethna,11,68.4,70.0,80,48
20201209,VC++,530,55.9,55.0,80,35
20201209,Abstract,1,65.0,65.0,65,65
20201209,R言語,30,80.6,70.0,170,50
20201209,Ruby on Rails,1712,75.1,75.0,200,20
20201209,CodeIgniter,72,68.5,70.0,90,40
20201209,C++,3410,60.2,60.0,150,25
20201209,Unity,1515,70.2,70.0,140,20
20201209,SQL,3847,61.2,60.0,180,20
20201209,Go言語,1110,83.0,80.0,150,20
20201209,Objective-C,614,63.5,65.0,120,30
20201209,SAStruts,56,69.5,70.0,100,45
20201209,Cisco,305,59.1,60.0,120,30
20201209,Tornado,3,80.0,80.0,90,70
20201209,After Effects,100,52.4,51.5,80,35
20201209,Photoshop,710,57.4,55.0,105,20
20201209,Perl,409,62.3,60.0,110,40
20201209,Scala,548,85.1,80.0,160,40
20201209,Phalcon,19,77.9,80.0,100,45
20201209,AWS,2699,78.2,75.0,170,30
20201209,C#.NET,2263,59.1,60.0,200,30
20201209,Illustrator,1192,56.1,55.0,110,4
20201209,Catalyst,74,60.8,60.0,120,35
20201209,CakePHP,483,65.6,65.0,100,30
20201209,SAP,3320,108.3,109.0,205,25
20201209,TypeScript,423,70.5,70.0,140,45
20201209,WindowsServer,1822,61.5,60.0,150,25
20201209,Spring,1452,65.8,65.0,150,35
20201209,HTML5,1290,57.8,55.0,110,20
20201209,Linux,2267,63.5,60.0,190,30
20201209,Backbone.js,25,72.4,70.0,90,53
20201209,Maya,260,61.1,60.0,100,30
20201209,PHP,10683,66.0,65.0,200,20
20201209,ASP.NET,1336,57.6,60.0,120,30
20201209,Apex,163,72.4,70.0,135,40
20201209,JavaScript,4681,66.5,65.0,180,20
20201209,Laravel,976,67.0,70.0,100,20
20201209,Django,211,73.4,70.0,140,20
20201209,UNIX,275,58.1,60.0,135,30
20201209,Flask,56,74.9,75.0,130,30
20201209,Knockout.js,6,64.0,65.0,75,53
20201209,NuxtJS,5,81.0,80.0,100,60
20201209,VB,773,54.3,50.0,140,30
20201209,Spark,36,72.0,70.0,120,45
20201209,ReactNative,90,76.9,75.0,115,40
20201209,COBOL,3694,51.8,50.0,150,25
20201209,PL/SQL,1626,54.8,55.0,150,30
20201209,React,1476,74.9,75.0,150,20
20201209,Python,3115,73.2,75.0,160,12
20201209,Swift,1305,73.2,75.0,140,30
20201209,Vuex,6,71.0,75.0,80,60
20201209,Node.js,602,75.6,72.0,180,20
20201209,Cocos2d-x,88,74.8,70.0,140,40
20201209,VB.NET,3897,54.9,55.0,140,20
20201209,Java,21849,63.1,60.0,180,25
20201209,AngularJS,165,71.0,70.0,130,45
20201209,Yii,16,64.2,70.0,90,50
20201209,Struts,500,62.7,60.0,100,40
20201209,Flutter,83,72.4,70.0,140,45
20201209,Kotlin,686,80.1,80.0,150,30
20201209,Adobe XD,75,64.2,65.0,100,40
20201209,RSpec,56,75.5,75.0,100,50
20201209,Google Cloud Platform,108,78.1,70.0,150,40
20201209,Azure,399,76.8,75.0,160,30
20201209,Pyramid,2,59.0,57.5,60,55
20201209,FuelPHP,159,72.1,70.0,100,40
20201209,CodeDeploy,1,50.0,50.0,50,50
20201209,Symfony,135,67.7,65.0,140,45
20201209,Ruby,3019,73.0,75.0,150,30
20201209,Zend Framework,12,74.7,67.5,115,50
20201209,Fargate,2,65.0,67.5,75,60
