skill,count,avg_price,med_price,max_price,min_price,created_at
After Effects,90,52.5,50,80,35,20201121
After Effects,90,52.5,50,80,35,20201122
After Effects,90,52.5,50,80,35,20201123
After Effects,90,52.5,50,80,35,20201124
After Effects,90,52.5,50,80,35,20201125
After Effects,90,52.5,50,80,35,20201126
After Effects,92,52.5,50,80,35,20201127
After Effects,92,52.5,50,80,35,20201128
After Effects,92,52.5,50,80,35,20201129
After Effects,92,52.5,50,80,35,20201130
After Effects,92,52.4,51.5,80,35,20201202
