skill,count,avg_price,med_price,max_price,min_price,created_at
Apex,154,73.4,73.5,135,40,20201121
Apex,155,73.4,73.5,135,40,20201122
Apex,155,73.4,73.5,135,40,20201123
Apex,155,73.4,73.5,135,40,20201124
Apex,155,73.4,73.5,135,40,20201125
Apex,155,73.4,73.5,135,40,20201126
Apex,155,73.4,73.5,135,40,20201127
Apex,160,73.4,73.5,135,40,20201128
Apex,160,73.4,73.5,135,40,20201129
Apex,160,73.4,73.5,135,40,20201130
Apex,160,72.4,70,135,40,20201202
Apex,160,72.4,70,135,40,20201203
Apex,160,72.4,70,135,40,20201204
Apex,163,72.4,70,135,40,20201205
Apex,163,72.4,70,135,40,20201206
Apex,163,72.4,70,135,40,20201207
Apex,163,72.4,70,135,40,20201208
Apex,163,72.4,70,135,40,20201209
Apex,163,72.4,70,135,40,20201210
Apex,165,72.4,70,135,40,20201211
