skill,count,avg_price,med_price,max_price,min_price,created_at
CakePHP,463,67.4,70,100,40,20201121
CakePHP,466,67.4,70,100,40,20201122
CakePHP,466,67.4,70,100,40,20201123
CakePHP,466,67.4,70,100,40,20201124
CakePHP,467,67.4,70,100,40,20201125
CakePHP,468,67.4,70,100,40,20201126
CakePHP,469,67.4,70,100,40,20201127
CakePHP,471,67.4,70,100,40,20201128
CakePHP,475,67.4,70,100,40,20201129
CakePHP,475,67.4,70,100,40,20201130
CakePHP,475,65.6,65,100,30,20201202
CakePHP,477,65.6,65,100,30,20201203
CakePHP,479,65.6,65,100,30,20201204
CakePHP,480,65.6,65,100,30,20201205
CakePHP,482,65.6,65,100,30,20201206
CakePHP,482,65.6,65,100,30,20201207
CakePHP,482,65.6,65,100,30,20201208
CakePHP,483,65.6,65,100,30,20201209
CakePHP,484,65.6,65,100,30,20201210
