skill,count,avg_price,med_price,max_price,min_price,created_at
CodeDeploy,1,50.0,50,50,50,20201121
CodeDeploy,1,50.0,50,50,50,20201122
CodeDeploy,1,50.0,50,50,50,20201123
CodeDeploy,1,50.0,50,50,50,20201124
CodeDeploy,1,50.0,50,50,50,20201125
CodeDeploy,1,50.0,50,50,50,20201126
CodeDeploy,1,50.0,50,50,50,20201127
CodeDeploy,1,50.0,50,50,50,20201128
CodeDeploy,1,50.0,50,50,50,20201129
CodeDeploy,1,50.0,50,50,50,20201130
CodeDeploy,1,50.0,50,50,50,20201202
CodeDeploy,1,50.0,50,50,50,20201203
CodeDeploy,1,50.0,50,50,50,20201204
CodeDeploy,1,50.0,50,50,50,20201205
