skill,count,avg_price,med_price,max_price,min_price,created_at
AngularJS,163,71.7,70,130,45,20201121
AngularJS,163,71.7,70,130,45,20201122
AngularJS,163,71.7,70,130,45,20201123
AngularJS,163,71.7,70,130,45,20201124
AngularJS,163,71.7,70,130,45,20201125
AngularJS,164,71.7,70,130,45,20201126
AngularJS,165,71.7,70,130,45,20201127
AngularJS,165,71.7,70,130,45,20201128
AngularJS,165,71.7,70,130,45,20201129
AngularJS,165,71.7,70,130,45,20201130
AngularJS,165,71.0,70,130,45,20201202
AngularJS,165,71.0,70,130,45,20201203
AngularJS,165,71.0,70,130,45,20201204
AngularJS,165,71.0,70,130,45,20201205
AngularJS,165,71.0,70,130,45,20201206
AngularJS,165,71.0,70,130,45,20201207
AngularJS,165,71.0,70,130,45,20201208
AngularJS,165,71.0,70,130,45,20201209
AngularJS,165,71.0,70,130,45,20201210
AngularJS,165,71.0,70,130,45,20201211
AngularJS,166,71.0,70,130,45,20201212
AngularJS,167,71.0,70,130,45,20201215
AngularJS,171,71.0,70,130,45,20201220
AngularJS,172,71.0,70,130,45,20201225
AngularJS,173,71.0,70,130,45,20201230
AngularJS,173,70.0,70,130,45,20210105
AngularJS,179,70.0,70,130,45,20210110
AngularJS,179,70.0,70,130,45,20210115
AngularJS,180,70.0,70,130,45,20210120
AngularJS,181,70.0,70,130,45,20210125
AngularJS,190,69.3,70,130,40,20210209
AngularJS,190,69.3,70,130,40,20210210
AngularJS,192,69.3,70,130,40,20210215
AngularJS,195,69.3,70,130,40,20210220
AngularJS,196,69.3,70,130,40,20210225
AngularJS,198,69.2,70,130,40,20210305
AngularJS,211,69.1,70,130,30,20210503
AngularJS,211,69.1,70,130,30,20210504
AngularJS,211,69.1,70,130,30,20210505
AngularJS,211,69.1,70,130,30,20210506
AngularJS,211,69.1,70,130,30,20210507
AngularJS,211,69.1,70,130,30,20210508
AngularJS,211,69.1,70,130,30,20210509
AngularJS,211,69.1,70,130,30,20210510
AngularJS,212,69.1,70,130,30,20210511
AngularJS,214,69.1,70,130,30,20210512
