skill,count,avg_price,med_price,max_price,min_price,created_at
CakePHP,463,67.4,70,100,40,20201121
CakePHP,466,67.4,70,100,40,20201122
CakePHP,466,67.4,70,100,40,20201123
CakePHP,466,67.4,70,100,40,20201124
CakePHP,467,67.4,70,100,40,20201125
CakePHP,468,67.4,70,100,40,20201126
CakePHP,469,67.4,70,100,40,20201127
CakePHP,471,67.4,70,100,40,20201128
CakePHP,475,67.4,70,100,40,20201129
CakePHP,475,67.4,70,100,40,20201130
CakePHP,475,65.6,65,100,30,20201202
CakePHP,477,65.6,65,100,30,20201203
CakePHP,479,65.6,65,100,30,20201204
CakePHP,480,65.6,65,100,30,20201205
CakePHP,482,65.6,65,100,30,20201206
CakePHP,482,65.6,65,100,30,20201207
CakePHP,482,65.6,65,100,30,20201208
CakePHP,483,65.6,65,100,30,20201209
CakePHP,484,65.6,65,100,30,20201210
CakePHP,486,65.6,65,100,30,20201211
CakePHP,488,65.6,65,100,30,20201212
CakePHP,491,65.6,65,100,30,20201215
CakePHP,490,65.6,65,100,30,20201220
CakePHP,495,65.6,65,100,30,20201225
CakePHP,500,65.6,65,100,30,20201230
CakePHP,502,65.3,65,100,30,20210105
CakePHP,523,65.3,65,100,30,20210110
CakePHP,532,65.3,65,100,30,20210115
CakePHP,537,65.3,65,100,30,20210120
CakePHP,552,65.3,65,100,30,20210125
CakePHP,596,64.6,65,105,20,20210209
CakePHP,596,64.6,65,105,20,20210210
CakePHP,601,64.6,65,105,20,20210215
CakePHP,611,64.6,65,105,20,20210220
CakePHP,624,64.6,65,105,20,20210225
CakePHP,637,64.6,65,105,20,20210305
CakePHP,695,64.2,65,105,20,20210503
CakePHP,695,64.2,65,105,20,20210504
CakePHP,695,64.2,65,105,20,20210505
CakePHP,695,64.2,65,105,20,20210506
CakePHP,695,64.2,65,105,20,20210507
CakePHP,698,64.2,65,105,20,20210508
CakePHP,698,64.2,65,105,20,20210509
CakePHP,698,64.2,65,105,20,20210510
CakePHP,700,64.2,65,105,20,20210511
CakePHP,701,64.2,65,105,20,20210512
CakePHP,703,64.2,65,105,20,20210513
CakePHP,704,64.2,65,105,20,20210514
CakePHP,709,64.2,65,105,20,20210515
CakePHP,709,64.2,65,105,20,20210516
CakePHP,709,64.2,65,105,20,20210517
CakePHP,712,64.2,65,105,20,20210518
CakePHP,714,64.2,65,105,20,20210519
CakePHP,715,64.2,65,105,20,20210520
CakePHP,716,64.2,65,105,20,20210521
CakePHP,718,64.2,65,105,20,20210522
CakePHP,719,64.2,65,105,20,20210523
CakePHP,719,64.2,65,105,20,20210524
CakePHP,720,64.2,65,105,20,20210525
CakePHP,722,64.2,65,105,20,20210526
CakePHP,726,64.2,65,105,20,20210527
CakePHP,726,64.2,65,105,20,20210528
CakePHP,728,64.2,65,105,20,20210529
CakePHP,728,64.2,65,105,20,20210530
CakePHP,730,64.2,65,105,20,20210531
CakePHP,730,64.1,64,105,20,20210602
CakePHP,733,64.1,64,105,20,20210603
CakePHP,735,64.1,64,105,20,20210604
CakePHP,737,64.1,64,105,20,20210605
CakePHP,737,64.1,64,105,20,20210606
CakePHP,737,64.1,64,105,20,20210607
CakePHP,737,64.1,64,105,20,20210608
CakePHP,737,64.1,64,105,20,20210609
CakePHP,738,64.1,64,105,20,20210610
CakePHP,741,64.1,64,105,20,20210611
CakePHP,744,64.1,64,105,20,20210613
CakePHP,744,64.1,64,105,20,20210614
CakePHP,745,64.1,64,105,20,20210615
CakePHP,745,64.1,64,105,20,20210616
CakePHP,748,64.1,64,105,20,20210617
CakePHP,750,64.1,64,105,20,20210618
CakePHP,753,64.1,64,105,20,20210619
CakePHP,753,64.1,64,105,20,20210620
CakePHP,753,64.1,64,105,20,20210621
CakePHP,754,64.1,64,105,20,20210622
CakePHP,757,64.1,64,105,20,20210623
CakePHP,760,64.1,64,105,20,20210624
CakePHP,762,64.1,64,105,20,20210625
CakePHP,762,64.1,64,105,20,20210626
CakePHP,763,64.1,64,105,20,20210627
CakePHP,763,64.1,64,105,20,20210628
CakePHP,769,64.1,64,105,20,20210629
CakePHP,770,64.1,64,105,20,20210630
CakePHP,771,64.2,65,105,20,20210702
CakePHP,775,64.2,65,105,20,20210703
CakePHP,775,64.2,65,105,20,20210704
CakePHP,776,64.2,65,105,20,20210705
CakePHP,776,64.2,65,105,20,20210706
CakePHP,776,64.2,65,105,20,20210707
CakePHP,778,64.2,65,105,20,20210708
CakePHP,778,64.2,65,105,20,20210709
CakePHP,779,64.2,65,105,20,20210710
CakePHP,779,64.2,65,105,20,20210711
CakePHP,779,64.2,65,105,20,20210713
CakePHP,781,64.2,65,105,20,20210714
CakePHP,782,64.2,65,105,20,20210715
CakePHP,783,64.2,65,105,20,20210716
CakePHP,781,64.2,65,105,20,20210717
CakePHP,781,64.2,65,105,20,20210718
CakePHP,781,64.2,65,105,20,20210719
CakePHP,781,64.2,65,105,20,20210720
CakePHP,782,64.2,65,105,20,20210721
CakePHP,781,64.2,65,105,20,20210722
CakePHP,781,64.2,65,105,20,20210723
CakePHP,782,64.2,65,105,20,20210724
CakePHP,782,64.2,65,105,20,20210725
CakePHP,782,64.2,65,105,20,20210726
CakePHP,788,64.2,65,105,20,20210727
CakePHP,787,64.2,65,105,20,20210728
CakePHP,788,64.2,65,105,20,20210729
CakePHP,791,64.2,65,105,20,20210730
