skill,count,avg_price,med_price,max_price,min_price,created_at
FuelPHP,151,72.6,70,100,40,20201121
FuelPHP,151,72.6,70,100,40,20201122
FuelPHP,151,72.6,70,100,40,20201123
FuelPHP,151,72.6,70,100,40,20201124
FuelPHP,152,72.6,70,100,40,20201125
FuelPHP,153,72.6,70,100,40,20201126
FuelPHP,153,72.6,70,100,40,20201127
FuelPHP,153,72.6,70,100,40,20201128
FuelPHP,153,72.6,70,100,40,20201129
FuelPHP,153,72.6,70,100,40,20201130
FuelPHP,153,72.1,70,100,40,20201202
FuelPHP,154,72.1,70,100,40,20201203
FuelPHP,154,72.1,70,100,40,20201204
FuelPHP,154,72.1,70,100,40,20201205
FuelPHP,157,72.1,70,100,40,20201206
FuelPHP,157,72.1,70,100,40,20201207
FuelPHP,157,72.1,70,100,40,20201208
FuelPHP,159,72.1,70,100,40,20201209
FuelPHP,160,72.1,70,100,40,20201210
FuelPHP,162,72.1,70,100,40,20201211
FuelPHP,162,72.1,70,100,40,20201212
FuelPHP,163,72.1,70,100,40,20201215
FuelPHP,167,72.1,70,100,40,20201220
FuelPHP,167,72.1,70,100,40,20201225
FuelPHP,167,72.1,70,100,40,20201230
FuelPHP,168,71.8,70,100,40,20210105
FuelPHP,171,71.8,70,100,40,20210110
FuelPHP,173,71.8,70,100,40,20210115
FuelPHP,175,71.8,70,100,40,20210120
FuelPHP,176,71.8,70,100,40,20210125
FuelPHP,190,71.3,70,100,30,20210209
FuelPHP,190,71.3,70,100,30,20210210
FuelPHP,191,71.3,70,100,30,20210215
FuelPHP,191,71.3,70,100,30,20210220
FuelPHP,191,71.3,70,100,30,20210225
FuelPHP,192,71.1,70,100,30,20210305
FuelPHP,205,70.7,70,100,30,20210503
FuelPHP,205,70.7,70,100,30,20210504
FuelPHP,205,70.7,70,100,30,20210505
FuelPHP,205,70.7,70,100,30,20210506
FuelPHP,205,70.7,70,100,30,20210507
FuelPHP,206,70.7,70,100,30,20210508
FuelPHP,206,70.7,70,100,30,20210509
FuelPHP,206,70.7,70,100,30,20210510
FuelPHP,208,70.7,70,100,30,20210511
FuelPHP,209,70.7,70,100,30,20210512
FuelPHP,209,70.7,70,100,30,20210513
FuelPHP,210,70.7,70,100,30,20210514
FuelPHP,210,70.7,70,100,30,20210515
FuelPHP,210,70.7,70,100,30,20210516
FuelPHP,210,70.7,70,100,30,20210517
FuelPHP,210,70.7,70,100,30,20210518
FuelPHP,210,70.7,70,100,30,20210519
FuelPHP,210,70.7,70,100,30,20210520
FuelPHP,210,70.7,70,100,30,20210521
FuelPHP,213,70.7,70,100,30,20210522
FuelPHP,212,70.7,70,100,30,20210523
FuelPHP,212,70.7,70,100,30,20210524
FuelPHP,214,70.7,70,100,30,20210525
FuelPHP,214,70.7,70,100,30,20210526
FuelPHP,216,70.7,70,100,30,20210527
FuelPHP,216,70.7,70,100,30,20210528
FuelPHP,218,70.7,70,100,30,20210529
FuelPHP,218,70.7,70,100,30,20210530
FuelPHP,218,70.7,70,100,30,20210531
FuelPHP,221,70.3,70,100,30,20210602
FuelPHP,221,70.3,70,100,30,20210603
FuelPHP,224,70.3,70,100,30,20210604
FuelPHP,225,70.3,70,100,30,20210605
FuelPHP,226,70.3,70,100,30,20210606
FuelPHP,226,70.3,70,100,30,20210607
FuelPHP,226,70.3,70,100,30,20210608
FuelPHP,226,70.3,70,100,30,20210609
FuelPHP,227,70.3,70,100,30,20210610
FuelPHP,227,70.3,70,100,30,20210611
FuelPHP,228,70.3,70,100,30,20210613
FuelPHP,228,70.3,70,100,30,20210614
FuelPHP,229,70.3,70,100,30,20210615
FuelPHP,232,70.3,70,100,30,20210616
FuelPHP,232,70.3,70,100,30,20210617
FuelPHP,233,70.3,70,100,30,20210618
FuelPHP,233,70.3,70,100,30,20210619
FuelPHP,233,70.3,70,100,30,20210620
FuelPHP,233,70.3,70,100,30,20210621
FuelPHP,234,70.3,70,100,30,20210622
FuelPHP,234,70.3,70,100,30,20210623
FuelPHP,237,70.3,70,100,30,20210624
FuelPHP,237,70.3,70,100,30,20210625
FuelPHP,237,70.3,70,100,30,20210626
FuelPHP,238,70.3,70,100,30,20210627
FuelPHP,238,70.3,70,100,30,20210628
FuelPHP,240,70.3,70,100,30,20210629
FuelPHP,241,70.3,70,100,30,20210630
FuelPHP,243,70.3,70,100,30,20210702
FuelPHP,243,70.3,70,100,30,20210703
FuelPHP,243,70.3,70,100,30,20210704
FuelPHP,243,70.3,70,100,30,20210705
FuelPHP,243,70.3,70,100,30,20210706
FuelPHP,243,70.3,70,100,30,20210707
FuelPHP,244,70.3,70,100,30,20210708
FuelPHP,244,70.3,70,100,30,20210709
FuelPHP,244,70.3,70,100,30,20210710
FuelPHP,244,70.3,70,100,30,20210711
FuelPHP,246,70.3,70,100,30,20210713
FuelPHP,246,70.3,70,100,30,20210714
FuelPHP,246,70.3,70,100,30,20210715
FuelPHP,245,70.3,70,100,30,20210716
FuelPHP,245,70.3,70,100,30,20210717
FuelPHP,245,70.3,70,100,30,20210718
FuelPHP,245,70.3,70,100,30,20210719
FuelPHP,245,70.3,70,100,30,20210720
FuelPHP,245,70.3,70,100,30,20210721
FuelPHP,246,70.3,70,100,30,20210722
FuelPHP,246,70.3,70,100,30,20210723
FuelPHP,246,70.3,70,100,30,20210724
FuelPHP,246,70.3,70,100,30,20210725
FuelPHP,246,70.3,70,100,30,20210726
FuelPHP,250,70.3,70,100,30,20210727
FuelPHP,249,70.3,70,100,30,20210728
FuelPHP,249,70.3,70,100,30,20210729
FuelPHP,252,70.3,70,100,30,20210730
FuelPHP,253,70.3,70,100,30,20210731
FuelPHP,253,69.9,70,100,30,20210802
FuelPHP,254,69.9,70,100,30,20210803
FuelPHP,255,69.9,70,100,30,20210804
FuelPHP,256,69.9,70,100,30,20210805
FuelPHP,256,69.9,70,100,30,20210806
FuelPHP,258,69.9,70,100,30,20210807
FuelPHP,258,69.9,70,100,30,20210808
FuelPHP,258,69.9,70,100,30,20210809
FuelPHP,258,69.9,70,100,30,20210810
FuelPHP,259,69.9,70,100,30,20210812
FuelPHP,259,69.9,70,100,30,20210814
FuelPHP,259,69.9,70,100,30,20210815
FuelPHP,259,69.9,70,100,30,20210816
FuelPHP,259,69.9,70,100,30,20210817
FuelPHP,259,69.9,70,100,30,20210818
FuelPHP,259,69.9,70,100,30,20210819
FuelPHP,259,69.9,70,100,30,20210820
FuelPHP,260,69.9,70,100,30,20210821
FuelPHP,260,69.9,70,100,30,20210822
FuelPHP,260,69.9,70,100,30,20210823
FuelPHP,260,69.9,70,100,30,20210824
FuelPHP,260,69.9,70,100,30,20210825
FuelPHP,260,69.9,70,100,30,20210826
FuelPHP,260,69.9,70,100,30,20210827
FuelPHP,260,69.9,70,100,30,20210828
FuelPHP,260,69.9,70,100,30,20210829
FuelPHP,260,69.9,70,100,30,20210830
FuelPHP,261,69.9,70,100,30,20210831
FuelPHP,264,69.9,70,100,30,20210902
FuelPHP,264,69.9,70,100,30,20210903
FuelPHP,268,69.9,70,100,30,20210904
FuelPHP,268,69.9,70,100,30,20210906
FuelPHP,268,69.9,70,100,30,20210907
FuelPHP,268,69.9,70,100,30,20210908
FuelPHP,270,69.9,70,100,30,20210914
FuelPHP,270,69.9,70,100,30,20210915
FuelPHP,270,69.9,70,100,30,20210916
FuelPHP,272,69.9,70,100,30,20210921
FuelPHP,272,69.9,70,100,30,20210922
