skill,count,avg_price,med_price,max_price,min_price,created_at
Phalcon,19,77.9,80,100,45,20201121
Phalcon,19,77.9,80,100,45,20201122
Phalcon,19,77.9,80,100,45,20201123
Phalcon,19,77.9,80,100,45,20201124
Phalcon,19,77.9,80,100,45,20201125
Phalcon,19,77.9,80,100,45,20201126
Phalcon,19,77.9,80,100,45,20201127
Phalcon,19,77.9,80,100,45,20201128
Phalcon,19,77.9,80,100,45,20201129
Phalcon,19,77.9,80,100,45,20201130
Phalcon,19,77.9,80,100,45,20201202
Phalcon,19,77.9,80,100,45,20201203
Phalcon,19,77.9,80,100,45,20201204
Phalcon,19,77.9,80,100,45,20201205
Phalcon,19,77.9,80,100,45,20201206
Phalcon,19,77.9,80,100,45,20201207
Phalcon,19,77.9,80,100,45,20201208
Phalcon,19,77.9,80,100,45,20201209
Phalcon,19,77.9,80,100,45,20201210
Phalcon,19,77.9,80,100,45,20201211
Phalcon,20,77.9,80,100,45,20201212
Phalcon,20,77.9,80,100,45,20201215
Phalcon,20,77.9,80,100,45,20201220
Phalcon,20,77.9,80,100,45,20201225
Phalcon,20,77.9,80,100,45,20201230
Phalcon,20,77.2,80,100,45,20210105
Phalcon,20,77.2,80,100,45,20210110
Phalcon,21,77.2,80,100,45,20210115
