skill,count,avg_price,med_price,max_price,min_price,created_at
RSpec,44,73.7,75,95,55,20201121
RSpec,44,73.7,75,95,55,20201122
RSpec,44,73.7,75,95,55,20201123
RSpec,44,73.7,75,95,55,20201124
RSpec,44,73.7,75,95,55,20201125
RSpec,43,73.7,75,95,55,20201126
RSpec,44,73.7,75,95,55,20201127
RSpec,48,73.7,75,95,55,20201128
RSpec,49,73.7,75,95,55,20201129
RSpec,49,73.7,75,95,55,20201130
RSpec,51,75.5,75,100,50,20201202
RSpec,53,75.5,75,100,50,20201203
RSpec,53,75.5,75,100,50,20201204
RSpec,53,75.5,75,100,50,20201205
RSpec,55,75.5,75,100,50,20201206
RSpec,55,75.5,75,100,50,20201207
RSpec,56,75.5,75,100,50,20201208
RSpec,56,75.5,75,100,50,20201209
RSpec,57,75.5,75,100,50,20201210
RSpec,57,75.5,75,100,50,20201211
RSpec,57,75.5,75,100,50,20201212
RSpec,58,75.5,75,100,50,20201215
RSpec,61,75.5,75,100,50,20201220
RSpec,62,75.5,75,100,50,20201225
RSpec,63,75.5,75,100,50,20201230
RSpec,63,75.0,75,100,45,20210105
RSpec,64,75.0,75,100,45,20210110
RSpec,64,75.0,75,100,45,20210115
RSpec,67,75.0,75,100,45,20210120
RSpec,69,75.0,75,100,45,20210125
RSpec,88,75.2,75,100,30,20210209
RSpec,88,75.2,75,100,30,20210210
RSpec,88,75.2,75,100,30,20210215
RSpec,89,75.2,75,100,30,20210220
RSpec,89,75.2,75,100,30,20210225
RSpec,92,75.7,80,100,30,20210305
RSpec,122,77.0,80,105,30,20210503
RSpec,122,77.0,80,105,30,20210504
RSpec,122,77.0,80,105,30,20210505
RSpec,122,77.0,80,105,30,20210506
RSpec,122,77.0,80,105,30,20210507
RSpec,122,77.0,80,105,30,20210508
RSpec,122,77.0,80,105,30,20210509
RSpec,122,77.0,80,105,30,20210510
RSpec,121,77.0,80,105,30,20210511
RSpec,121,77.0,80,105,30,20210512
RSpec,122,77.0,80,105,30,20210513
RSpec,123,77.0,80,105,30,20210514
RSpec,124,77.0,80,105,30,20210515
RSpec,124,77.0,80,105,30,20210516
RSpec,125,77.0,80,105,30,20210517
RSpec,125,77.0,80,105,30,20210518
RSpec,125,77.0,80,105,30,20210519
RSpec,125,77.0,80,105,30,20210520
RSpec,125,77.0,80,105,30,20210521
RSpec,126,77.0,80,105,30,20210522
RSpec,126,77.0,80,105,30,20210523
RSpec,126,77.0,80,105,30,20210524
RSpec,127,77.0,80,105,30,20210525
RSpec,128,77.0,80,105,30,20210526
RSpec,128,77.0,80,105,30,20210527
RSpec,128,77.0,80,105,30,20210528
RSpec,129,77.0,80,105,30,20210529
RSpec,130,77.0,80,105,30,20210530
RSpec,130,77.0,80,105,30,20210531
RSpec,132,77.0,80,105,30,20210602
RSpec,133,77.0,80,105,30,20210603
RSpec,133,77.0,80,105,30,20210604
RSpec,134,77.0,80,105,30,20210605
RSpec,134,77.0,80,105,30,20210606
RSpec,134,77.0,80,105,30,20210607
