skill,count,avg_price,med_price,max_price,min_price,created_at
Ruby on Rails,1638,75.7,75,200,20,20201121
Ruby on Rails,1646,75.7,75,200,20,20201122
Ruby on Rails,1646,75.7,75,200,20,20201123
Ruby on Rails,1646,75.7,75,200,20,20201124
Ruby on Rails,1649,75.7,75,200,20,20201125
Ruby on Rails,1654,75.7,75,200,20,20201126
Ruby on Rails,1657,75.7,75,200,20,20201127
Ruby on Rails,1669,75.7,75,200,20,20201128
Ruby on Rails,1671,75.7,75,200,20,20201129
Ruby on Rails,1671,75.7,75,200,20,20201130
Ruby on Rails,1674,75.1,75,200,20,20201202
Ruby on Rails,1680,75.1,75,200,20,20201203
Ruby on Rails,1683,75.1,75,200,20,20201204
Ruby on Rails,1687,75.1,75,200,20,20201205
Ruby on Rails,1706,75.1,75,200,20,20201206
Ruby on Rails,1707,75.1,75,200,20,20201207
Ruby on Rails,1711,75.1,75,200,20,20201208
Ruby on Rails,1712,75.1,75,200,20,20201209
Ruby on Rails,1720,75.1,75,200,20,20201210
Ruby on Rails,1725,75.1,75,200,20,20201211
Ruby on Rails,1733,75.1,75,200,20,20201212
Ruby on Rails,1737,75.1,75,200,20,20201215
Ruby on Rails,1757,75.1,75,200,20,20201220
Ruby on Rails,1775,75.1,75,200,20,20201225
Ruby on Rails,1801,75.1,75,200,20,20201230
Ruby on Rails,1806,75.1,75,200,20,20210105
Ruby on Rails,1866,75.1,75,200,20,20210110
Ruby on Rails,1883,75.1,75,200,20,20210115
Ruby on Rails,1901,75.1,75,200,20,20210120
Ruby on Rails,1954,75.1,75,200,20,20210125
Ruby on Rails,2234,74.0,75,200,20,20210209
Ruby on Rails,2243,74.0,75,200,20,20210210
Ruby on Rails,2257,74.0,75,200,20,20210215
Ruby on Rails,2284,74.0,75,200,20,20210220
Ruby on Rails,2311,74.0,75,200,20,20210225
Ruby on Rails,2382,74.4,75,200,20,20210305
Ruby on Rails,2737,74.4,75,200,20,20210503
Ruby on Rails,2737,74.4,75,200,20,20210504
Ruby on Rails,2738,74.4,75,200,20,20210505
Ruby on Rails,2739,74.4,75,200,20,20210506
Ruby on Rails,2739,74.4,75,200,20,20210507
Ruby on Rails,2745,74.4,75,200,20,20210508
Ruby on Rails,2745,74.4,75,200,20,20210509
Ruby on Rails,2745,74.4,75,200,20,20210510
Ruby on Rails,2748,74.4,75,200,20,20210511
Ruby on Rails,2755,74.4,75,200,20,20210512
Ruby on Rails,2767,74.4,75,200,20,20210513
Ruby on Rails,2776,74.4,75,200,20,20210514
Ruby on Rails,2797,74.4,75,200,20,20210515
Ruby on Rails,2798,74.4,75,200,20,20210516
Ruby on Rails,2800,74.4,75,200,20,20210517
Ruby on Rails,2805,74.4,75,200,20,20210518
Ruby on Rails,2809,74.4,75,200,20,20210519
Ruby on Rails,2822,74.4,75,200,20,20210520
Ruby on Rails,2826,74.4,75,200,20,20210521
Ruby on Rails,2834,74.4,75,200,20,20210522
Ruby on Rails,2837,74.4,75,200,20,20210523
Ruby on Rails,2837,74.4,75,200,20,20210524
Ruby on Rails,2856,74.4,75,200,20,20210525
Ruby on Rails,2869,74.4,75,200,20,20210526
Ruby on Rails,2873,74.4,75,200,20,20210527
Ruby on Rails,2881,74.4,75,200,20,20210528
Ruby on Rails,2892,74.4,75,200,20,20210529
Ruby on Rails,2898,74.4,75,200,20,20210530
Ruby on Rails,2902,74.4,75,200,20,20210531
Ruby on Rails,2922,74.6,75,200,20,20210602
Ruby on Rails,2924,74.6,75,200,20,20210603
Ruby on Rails,2930,74.6,75,200,20,20210604
Ruby on Rails,2942,74.6,75,200,20,20210605
Ruby on Rails,2943,74.6,75,200,20,20210606
Ruby on Rails,2943,74.6,75,200,20,20210607
Ruby on Rails,2948,74.6,75,200,20,20210608
Ruby on Rails,2957,74.6,75,200,20,20210609
Ruby on Rails,2971,74.6,75,200,20,20210610
Ruby on Rails,2975,74.6,75,200,20,20210611
Ruby on Rails,2992,74.6,75,200,20,20210613
Ruby on Rails,2992,74.6,75,200,20,20210614
Ruby on Rails,2996,74.6,75,200,20,20210615
Ruby on Rails,3007,74.6,75,200,20,20210616
Ruby on Rails,3016,74.6,75,200,20,20210617
Ruby on Rails,3025,74.6,75,200,20,20210618
Ruby on Rails,3030,74.6,75,200,20,20210619
Ruby on Rails,3030,74.6,75,200,20,20210620
Ruby on Rails,3030,74.6,75,200,20,20210621
Ruby on Rails,3040,74.6,75,200,20,20210622
Ruby on Rails,3049,74.6,75,200,20,20210623
Ruby on Rails,3078,74.6,75,200,20,20210624
Ruby on Rails,3080,74.6,75,200,20,20210625
Ruby on Rails,3090,74.6,75,200,20,20210626
Ruby on Rails,3091,74.6,75,200,20,20210627
Ruby on Rails,3090,74.6,75,200,20,20210628
Ruby on Rails,3097,74.6,75,200,20,20210629
Ruby on Rails,3100,74.6,75,200,20,20210630
Ruby on Rails,3110,74.7,75,200,20,20210702
Ruby on Rails,3115,74.7,75,200,20,20210703
Ruby on Rails,3118,74.7,75,200,20,20210704
Ruby on Rails,3118,74.7,75,200,20,20210705
Ruby on Rails,3123,74.7,75,200,20,20210706
