skill,count,avg_price,med_price,max_price,min_price,created_at
SAStruts,54,70.2,70,100,45,20201121
SAStruts,54,70.2,70,100,45,20201122
SAStruts,54,70.2,70,100,45,20201123
SAStruts,54,70.2,70,100,45,20201124
SAStruts,54,70.2,70,100,45,20201125
SAStruts,54,70.2,70,100,45,20201126
SAStruts,54,70.2,70,100,45,20201127
SAStruts,56,70.2,70,100,45,20201128
SAStruts,56,70.2,70,100,45,20201129
SAStruts,56,70.2,70,100,45,20201130
SAStruts,56,69.5,70,100,45,20201202
SAStruts,56,69.5,70,100,45,20201203
SAStruts,56,69.5,70,100,45,20201204
SAStruts,56,69.5,70,100,45,20201205
SAStruts,56,69.5,70,100,45,20201206
SAStruts,56,69.5,70,100,45,20201207
SAStruts,56,69.5,70,100,45,20201208
SAStruts,56,69.5,70,100,45,20201209
SAStruts,56,69.5,70,100,45,20201210
SAStruts,56,69.5,70,100,45,20201211
SAStruts,56,69.5,70,100,45,20201212
SAStruts,56,69.5,70,100,45,20201215
SAStruts,56,69.5,70,100,45,20201220
SAStruts,56,69.5,70,100,45,20201225
SAStruts,56,69.5,70,100,45,20201230
SAStruts,56,69.5,70,100,45,20210105
SAStruts,59,69.5,70,100,45,20210110
SAStruts,59,69.5,70,100,45,20210115
SAStruts,60,69.5,70,100,45,20210120
SAStruts,60,69.5,70,100,45,20210125
SAStruts,60,69.5,70,100,45,20210209
SAStruts,60,69.5,70,100,45,20210210
SAStruts,60,69.5,70,100,45,20210215
SAStruts,60,69.5,70,100,45,20210220
SAStruts,60,69.5,70,100,45,20210225
SAStruts,61,69.0,70,100,45,20210305
SAStruts,68,69.0,70,100,45,20210503
SAStruts,69,69.0,70,100,45,20210504
SAStruts,69,69.0,70,100,45,20210505
SAStruts,69,69.0,70,100,45,20210506
SAStruts,69,69.0,70,100,45,20210507
SAStruts,69,69.0,70,100,45,20210508
SAStruts,69,69.0,70,100,45,20210509
SAStruts,69,69.0,70,100,45,20210510
SAStruts,70,69.0,70,100,45,20210511
SAStruts,70,69.0,70,100,45,20210512
SAStruts,70,69.0,70,100,45,20210513
SAStruts,70,69.0,70,100,45,20210514
SAStruts,70,69.0,70,100,45,20210515
SAStruts,70,69.0,70,100,45,20210516
SAStruts,70,69.0,70,100,45,20210517
SAStruts,72,69.0,70,100,45,20210518
SAStruts,72,69.0,70,100,45,20210519
SAStruts,72,69.0,70,100,45,20210520
SAStruts,72,69.0,70,100,45,20210521
SAStruts,72,69.0,70,100,45,20210522
