skill,count,avg_price,med_price,max_price,min_price,created_at
Spark,35,72.4,70,120,45,20201121
Spark,35,72.4,70,120,45,20201122
Spark,35,72.4,70,120,45,20201123
Spark,35,72.4,70,120,45,20201124
Spark,35,72.4,70,120,45,20201125
Spark,35,72.4,70,120,45,20201126
Spark,35,72.4,70,120,45,20201127
Spark,35,72.4,70,120,45,20201128
Spark,35,72.4,70,120,45,20201129
Spark,35,72.4,70,120,45,20201130
Spark,36,72.0,70,120,45,20201202
Spark,36,72.0,70,120,45,20201203
Spark,36,72.0,70,120,45,20201204
Spark,36,72.0,70,120,45,20201205
Spark,36,72.0,70,120,45,20201206
Spark,36,72.0,70,120,45,20201207
Spark,36,72.0,70,120,45,20201208
Spark,36,72.0,70,120,45,20201209
Spark,36,72.0,70,120,45,20201210
Spark,36,72.0,70,120,45,20201211
Spark,36,72.0,70,120,45,20201212
Spark,36,72.0,70,120,45,20201215
Spark,37,72.0,70,120,45,20201220
Spark,36,72.0,70,120,45,20201225
Spark,36,72.0,70,120,45,20201230
Spark,36,72.0,70,120,45,20210105
Spark,39,72.0,70,120,45,20210110
Spark,39,72.0,70,120,45,20210115
Spark,39,72.0,70,120,45,20210120
Spark,39,72.0,70,120,45,20210125
Spark,40,71.5,70,120,45,20210209
Spark,40,71.5,70,120,45,20210210
Spark,40,71.5,70,120,45,20210215
Spark,41,71.5,70,120,45,20210220
Spark,41,71.5,70,120,45,20210225
Spark,42,71.5,70,120,45,20210305
Spark,46,73.2,70,120,45,20210503
Spark,46,73.2,70,120,45,20210504
Spark,46,73.2,70,120,45,20210505
Spark,46,73.2,70,120,45,20210506
Spark,46,73.2,70,120,45,20210507
Spark,46,73.2,70,120,45,20210508
Spark,46,73.2,70,120,45,20210509
Spark,46,73.2,70,120,45,20210510
Spark,46,73.2,70,120,45,20210511
Spark,46,73.2,70,120,45,20210512
Spark,46,73.2,70,120,45,20210513
Spark,46,73.2,70,120,45,20210514
Spark,47,73.2,70,120,45,20210515
Spark,47,73.2,70,120,45,20210516
Spark,47,73.2,70,120,45,20210517
Spark,47,73.2,70,120,45,20210518
Spark,47,73.2,70,120,45,20210519
Spark,47,73.2,70,120,45,20210520
Spark,47,73.2,70,120,45,20210521
Spark,47,73.2,70,120,45,20210522
Spark,47,73.2,70,120,45,20210523
Spark,47,73.2,70,120,45,20210524
Spark,47,73.2,70,120,45,20210525
Spark,47,73.2,70,120,45,20210526
Spark,47,73.2,70,120,45,20210527
Spark,47,73.2,70,120,45,20210528
Spark,47,73.2,70,120,45,20210529
Spark,47,73.2,70,120,45,20210530
Spark,47,73.2,70,120,45,20210531
Spark,47,73.1,70,120,45,20210602
Spark,47,73.1,70,120,45,20210603
Spark,47,73.1,70,120,45,20210604
Spark,47,73.1,70,120,45,20210605
Spark,47,73.1,70,120,45,20210606
Spark,47,73.1,70,120,45,20210607
Spark,47,73.1,70,120,45,20210608
Spark,47,73.1,70,120,45,20210609
Spark,47,73.1,70,120,45,20210610
Spark,47,73.1,70,120,45,20210611
Spark,47,73.1,70,120,45,20210613
Spark,47,73.1,70,120,45,20210614
Spark,47,73.1,70,120,45,20210615
Spark,47,73.1,70,120,45,20210616
Spark,47,73.1,70,120,45,20210617
Spark,47,73.1,70,120,45,20210618
Spark,47,73.1,70,120,45,20210619
Spark,47,73.1,70,120,45,20210620
Spark,47,73.1,70,120,45,20210621
