skill,count,avg_price,med_price,max_price,min_price,created_at
Struts,488,63.6,60,100,40,20201121
Struts,489,63.6,60,100,40,20201122
Struts,489,63.6,60,100,40,20201123
Struts,489,63.6,60,100,40,20201124
Struts,489,63.6,60,100,40,20201125
Struts,490,63.6,60,100,40,20201126
Struts,491,63.6,60,100,40,20201127
Struts,492,63.6,60,100,40,20201128
Struts,493,63.6,60,100,40,20201129
Struts,493,63.6,60,100,40,20201130
Struts,493,62.7,60,100,40,20201202
Struts,493,62.7,60,100,40,20201203
Struts,493,62.7,60,100,40,20201204
Struts,494,62.7,60,100,40,20201205
Struts,499,62.7,60,100,40,20201206
Struts,499,62.7,60,100,40,20201207
Struts,499,62.7,60,100,40,20201208
Struts,500,62.7,60,100,40,20201209
Struts,502,62.7,60,100,40,20201210
Struts,502,62.7,60,100,40,20201211
Struts,505,62.7,60,100,40,20201212
Struts,507,62.7,60,100,40,20201215
Struts,516,62.7,60,100,40,20201220
Struts,517,62.7,60,100,40,20201225
Struts,522,62.7,60,100,40,20201230
Struts,524,62.7,60,120,40,20210105
Struts,551,62.7,60,120,40,20210110
Struts,557,62.7,60,120,40,20210115
Struts,559,62.7,60,120,40,20210120
Struts,567,62.7,60,120,40,20210125
Struts,585,62.5,60,120,40,20210209
Struts,587,62.5,60,120,40,20210210
Struts,590,62.5,60,120,40,20210215
Struts,593,62.5,60,120,40,20210220
Struts,596,62.5,60,120,40,20210225
Struts,603,62.2,60,120,40,20210305
Struts,665,61.8,60,120,40,20210503
Struts,665,61.8,60,120,40,20210504
Struts,665,61.8,60,120,40,20210505
Struts,665,61.8,60,120,40,20210506
Struts,666,61.8,60,120,40,20210507
Struts,666,61.8,60,120,40,20210508
Struts,666,61.8,60,120,40,20210509
Struts,666,61.8,60,120,40,20210510
Struts,671,61.8,60,120,40,20210511
Struts,671,61.8,60,120,40,20210512
Struts,672,61.8,60,120,40,20210513
Struts,673,61.8,60,120,40,20210514
Struts,678,61.8,60,120,40,20210515
Struts,678,61.8,60,120,40,20210516
Struts,678,61.8,60,120,40,20210517
Struts,682,61.8,60,120,40,20210518
Struts,683,61.8,60,120,40,20210519
Struts,684,61.8,60,120,40,20210520
Struts,686,61.8,60,120,40,20210521
Struts,690,61.8,60,120,40,20210522
Struts,690,61.8,60,120,40,20210523
Struts,690,61.8,60,120,40,20210524
Struts,694,61.8,60,120,40,20210525
Struts,696,61.8,60,120,40,20210526
Struts,695,61.8,60,120,40,20210527
Struts,695,61.8,60,120,40,20210528
Struts,698,61.8,60,120,40,20210529
Struts,698,61.8,60,120,40,20210530
Struts,698,61.8,60,120,40,20210531
Struts,699,61.6,60,120,40,20210602
Struts,699,61.6,60,120,40,20210603
Struts,700,61.6,60,120,40,20210604
Struts,703,61.6,60,120,40,20210605
Struts,703,61.6,60,120,40,20210606
Struts,703,61.6,60,120,40,20210607
Struts,703,61.6,60,120,40,20210608
Struts,705,61.6,60,120,40,20210609
Struts,707,61.6,60,120,40,20210610
Struts,707,61.6,60,120,40,20210611
Struts,710,61.6,60,120,40,20210613
Struts,710,61.6,60,120,40,20210614
Struts,712,61.6,60,120,40,20210615
Struts,712,61.6,60,120,40,20210616
Struts,713,61.6,60,120,40,20210617
Struts,713,61.6,60,120,40,20210618
Struts,713,61.6,60,120,40,20210619
Struts,713,61.6,60,120,40,20210620
Struts,713,61.6,60,120,40,20210621
Struts,716,61.6,60,120,40,20210622
Struts,716,61.6,60,120,40,20210623
Struts,717,61.6,60,120,40,20210624
Struts,717,61.6,60,120,40,20210625
Struts,719,61.6,60,120,40,20210626
Struts,720,61.6,60,120,40,20210627
Struts,720,61.6,60,120,40,20210628
Struts,722,61.6,60,120,40,20210629
Struts,722,61.6,60,120,40,20210630
Struts,726,61.5,60,120,40,20210702
Struts,730,61.5,60,120,40,20210703
Struts,731,61.5,60,120,40,20210704
