skill,count,avg_price,med_price,max_price,min_price,created_at
Zend Framework,11,62.0,60,70,50,20201121
Zend Framework,12,62.0,60,70,50,20201122
Zend Framework,12,62.0,60,70,50,20201123
Zend Framework,12,62.0,60,70,50,20201124
Zend Framework,12,62.0,60,70,50,20201125
Zend Framework,12,62.0,60,70,50,20201126
Zend Framework,12,62.0,60,70,50,20201127
Zend Framework,12,62.0,60,70,50,20201128
Zend Framework,12,62.0,60,70,50,20201129
Zend Framework,12,62.0,60,70,50,20201130
Zend Framework,12,74.7,67.5,115,50,20201202
Zend Framework,12,74.7,67.5,115,50,20201203
Zend Framework,12,74.7,67.5,115,50,20201204
Zend Framework,12,74.7,67.5,115,50,20201205
Zend Framework,12,74.7,67.5,115,50,20201206
Zend Framework,12,74.7,67.5,115,50,20201207
Zend Framework,12,74.7,67.5,115,50,20201208
Zend Framework,12,74.7,67.5,115,50,20201209
Zend Framework,12,74.7,67.5,115,50,20201210
Zend Framework,12,74.7,67.5,115,50,20201211
Zend Framework,12,74.7,67.5,115,50,20201212
Zend Framework,12,74.7,67.5,115,50,20201215
Zend Framework,13,74.7,67.5,115,50,20201220
Zend Framework,13,74.7,67.5,115,50,20201225
Zend Framework,13,74.7,67.5,115,50,20201230
Zend Framework,13,75.0,70,115,50,20210105
Zend Framework,13,75.0,70,115,50,20210110
Zend Framework,15,75.0,70,115,50,20210115
Zend Framework,15,75.0,70,115,50,20210120
Zend Framework,16,75.0,70,115,50,20210125
Zend Framework,18,74.0,67.5,115,50,20210209
Zend Framework,18,74.0,67.5,115,50,20210210
Zend Framework,19,74.0,67.5,115,50,20210215
Zend Framework,20,74.0,67.5,115,50,20210220
Zend Framework,20,74.0,67.5,115,50,20210225
Zend Framework,23,74.7,70,115,50,20210305
Zend Framework,36,79.2,75,115,45,20210503
Zend Framework,36,79.2,75,115,45,20210504
Zend Framework,36,79.2,75,115,45,20210505
Zend Framework,36,79.2,75,115,45,20210506
Zend Framework,36,79.2,75,115,45,20210507
Zend Framework,37,79.2,75,115,45,20210508
Zend Framework,37,79.2,75,115,45,20210509
Zend Framework,37,79.2,75,115,45,20210510
Zend Framework,37,79.2,75,115,45,20210511
Zend Framework,37,79.2,75,115,45,20210512
Zend Framework,37,79.2,75,115,45,20210513
Zend Framework,37,79.2,75,115,45,20210514
Zend Framework,38,79.2,75,115,45,20210515
Zend Framework,38,79.2,75,115,45,20210516
Zend Framework,38,79.2,75,115,45,20210517
Zend Framework,38,79.2,75,115,45,20210518
Zend Framework,38,79.2,75,115,45,20210519
Zend Framework,38,79.2,75,115,45,20210520
Zend Framework,38,79.2,75,115,45,20210521
