skill,count,avg_price,med_price,max_price,min_price,created_at
Google Cloud Platform,92,80.1,78,150,40,20201121
Google Cloud Platform,93,80.1,78,150,40,20201122
Google Cloud Platform,93,80.1,78,150,40,20201123
Google Cloud Platform,93,80.1,78,150,40,20201124
Google Cloud Platform,93,80.1,78,150,40,20201125
Google Cloud Platform,93,80.1,78,150,40,20201126
Google Cloud Platform,93,80.1,78,150,40,20201127
Google Cloud Platform,93,80.1,78,150,40,20201128
Google Cloud Platform,93,80.1,78,150,40,20201129
Google Cloud Platform,93,80.1,78,150,40,20201130
Google Cloud Platform,96,78.1,70,150,40,20201202
Google Cloud Platform,99,78.1,70,150,40,20201203
Google Cloud Platform,99,78.1,70,150,40,20201204
Google Cloud Platform,101,78.1,70,150,40,20201205
Google Cloud Platform,105,78.1,70,150,40,20201206
Google Cloud Platform,105,78.1,70,150,40,20201207
Google Cloud Platform,108,78.1,70,150,40,20201208
Google Cloud Platform,108,78.1,70,150,40,20201209
Google Cloud Platform,108,78.1,70,150,40,20201210
Google Cloud Platform,110,78.1,70,150,40,20201211
