skill,count,avg_price,med_price,max_price,min_price,created_at
Google Cloud Platform,92,80.1,78,150,40,20201121
Google Cloud Platform,93,80.1,78,150,40,20201122
Google Cloud Platform,93,80.1,78,150,40,20201123
Google Cloud Platform,93,80.1,78,150,40,20201124
Google Cloud Platform,93,80.1,78,150,40,20201125
Google Cloud Platform,93,80.1,78,150,40,20201126
Google Cloud Platform,93,80.1,78,150,40,20201127
Google Cloud Platform,93,80.1,78,150,40,20201128
Google Cloud Platform,93,80.1,78,150,40,20201129
Google Cloud Platform,93,80.1,78,150,40,20201130
Google Cloud Platform,96,78.1,70,150,40,20201202
Google Cloud Platform,99,78.1,70,150,40,20201203
Google Cloud Platform,99,78.1,70,150,40,20201204
Google Cloud Platform,101,78.1,70,150,40,20201205
Google Cloud Platform,105,78.1,70,150,40,20201206
Google Cloud Platform,105,78.1,70,150,40,20201207
Google Cloud Platform,108,78.1,70,150,40,20201208
Google Cloud Platform,108,78.1,70,150,40,20201209
Google Cloud Platform,108,78.1,70,150,40,20201210
Google Cloud Platform,110,78.1,70,150,40,20201211
Google Cloud Platform,110,78.1,70,150,40,20201212
Google Cloud Platform,111,78.1,70,150,40,20201215
Google Cloud Platform,116,78.1,70,150,40,20201220
Google Cloud Platform,114,78.1,70,150,40,20201225
Google Cloud Platform,114,78.1,70,150,40,20201230
Google Cloud Platform,120,78.3,70,150,40,20210105
Google Cloud Platform,137,78.3,70,150,40,20210110
Google Cloud Platform,138,78.3,70,150,40,20210115
Google Cloud Platform,141,78.3,70,150,40,20210120
Google Cloud Platform,147,78.3,70,150,40,20210125
Google Cloud Platform,174,77.5,75,150,30,20210209
Google Cloud Platform,175,77.5,75,150,30,20210210
Google Cloud Platform,175,77.5,75,150,30,20210215
Google Cloud Platform,176,77.5,75,150,30,20210220
Google Cloud Platform,177,77.5,75,150,30,20210225
Google Cloud Platform,189,77.8,75,150,30,20210305
Google Cloud Platform,223,81.4,75,200,30,20210503
Google Cloud Platform,223,81.4,75,200,30,20210504
Google Cloud Platform,223,81.4,75,200,30,20210505
Google Cloud Platform,223,81.4,75,200,30,20210506
Google Cloud Platform,225,81.4,75,200,30,20210507
Google Cloud Platform,225,81.4,75,200,30,20210508
Google Cloud Platform,225,81.4,75,200,30,20210509
Google Cloud Platform,225,81.4,75,200,30,20210510
Google Cloud Platform,225,81.4,75,200,30,20210511
Google Cloud Platform,227,81.4,75,200,30,20210512
Google Cloud Platform,227,81.4,75,200,30,20210513
Google Cloud Platform,227,81.4,75,200,30,20210514
Google Cloud Platform,227,81.4,75,200,30,20210515
Google Cloud Platform,227,81.4,75,200,30,20210516
Google Cloud Platform,227,81.4,75,200,30,20210517
Google Cloud Platform,228,81.4,75,200,30,20210518
Google Cloud Platform,231,81.4,75,200,30,20210519
Google Cloud Platform,233,81.4,75,200,30,20210520
Google Cloud Platform,233,81.4,75,200,30,20210521
Google Cloud Platform,234,81.4,75,200,30,20210522
Google Cloud Platform,234,81.4,75,200,30,20210523
Google Cloud Platform,234,81.4,75,200,30,20210524
Google Cloud Platform,237,81.4,75,200,30,20210525
Google Cloud Platform,238,81.4,75,200,30,20210526
Google Cloud Platform,243,81.4,75,200,30,20210527
Google Cloud Platform,245,81.4,75,200,30,20210528
Google Cloud Platform,250,81.4,75,200,30,20210529
Google Cloud Platform,250,81.4,75,200,30,20210530
Google Cloud Platform,250,81.4,75,200,30,20210531
Google Cloud Platform,251,81.6,75,200,30,20210602
Google Cloud Platform,252,81.6,75,200,30,20210603
Google Cloud Platform,254,81.6,75,200,30,20210604
Google Cloud Platform,256,81.6,75,200,30,20210605
Google Cloud Platform,256,81.6,75,200,30,20210606
Google Cloud Platform,256,81.6,75,200,30,20210607
Google Cloud Platform,258,81.6,75,200,30,20210608
Google Cloud Platform,260,81.6,75,200,30,20210609
Google Cloud Platform,260,81.6,75,200,30,20210610
