skill,count,avg_price,med_price,max_price,min_price,created_at
Linux,2234,64.3,63,190,30,20201121
Linux,2242,64.3,63,190,30,20201122
Linux,2242,64.3,63,190,30,20201123
Linux,2242,64.3,63,190,30,20201124
Linux,2242,64.3,63,190,30,20201125
Linux,2243,64.3,63,190,30,20201126
Linux,2243,64.3,63,190,30,20201127
Linux,2246,64.3,63,190,30,20201128
Linux,2247,64.3,63,190,30,20201129
Linux,2249,64.3,63,190,30,20201130
Linux,2251,63.5,60,190,30,20201202
Linux,2252,63.5,60,190,30,20201203
Linux,2252,63.5,60,190,30,20201204
Linux,2254,63.5,60,190,30,20201205
Linux,2263,63.5,60,190,30,20201206
Linux,2263,63.5,60,190,30,20201207
Linux,2263,63.5,60,190,30,20201208
Linux,2267,63.5,60,190,30,20201209
Linux,2267,63.5,60,190,30,20201210
Linux,2270,63.5,60,190,30,20201211
Linux,2275,63.5,60,190,30,20201212
Linux,2276,63.5,60,190,30,20201215
Linux,2280,63.5,60,190,30,20201220
Linux,2291,63.5,60,190,30,20201225
Linux,2297,63.5,60,190,30,20201230
Linux,2300,63.6,60,190,30,20210105
Linux,2350,63.6,60,190,30,20210110
Linux,2355,63.6,60,190,30,20210115
Linux,2363,63.6,60,190,30,20210120
Linux,2378,63.6,60,190,30,20210125
Linux,2415,63.9,60,190,20,20210209
Linux,2419,63.9,60,190,20,20210210
Linux,2422,63.9,60,190,20,20210215
Linux,2435,63.9,60,190,20,20210220
Linux,2441,63.9,60,190,20,20210225
Linux,2464,64.0,60,190,20,20210305
Linux,2587,64.1,60,190,20,20210503
Linux,2587,64.1,60,190,20,20210504
Linux,2587,64.1,60,190,20,20210505
Linux,2587,64.1,60,190,20,20210506
Linux,2588,64.1,60,190,20,20210507
Linux,2591,64.1,60,190,20,20210508
Linux,2591,64.1,60,190,20,20210509
Linux,2591,64.1,60,190,20,20210510
Linux,2593,64.1,60,190,20,20210511
Linux,2598,64.1,60,190,20,20210512
Linux,2599,64.1,60,190,20,20210513
Linux,2600,64.1,60,190,20,20210514
Linux,2605,64.1,60,190,20,20210515
Linux,2605,64.1,60,190,20,20210516
Linux,2605,64.1,60,190,20,20210517
Linux,2606,64.1,60,190,20,20210518
Linux,2609,64.1,60,190,20,20210519
Linux,2611,64.1,60,190,20,20210520
Linux,2612,64.1,60,190,20,20210521
Linux,2618,64.1,60,190,20,20210522
Linux,2617,64.1,60,190,20,20210523
Linux,2617,64.1,60,190,20,20210524
Linux,2618,64.1,60,190,20,20210525
Linux,2620,64.1,60,190,20,20210526
