skill,count,avg_price,med_price,max_price,min_price,created_at
Knockout.js,5,65.8,70,75,60,20201121
Knockout.js,5,65.8,70,75,60,20201122
Knockout.js,5,65.8,70,75,60,20201123
Knockout.js,5,65.8,70,75,60,20201124
Knockout.js,5,65.8,70,75,60,20201125
Knockout.js,5,65.8,70,75,60,20201126
Knockout.js,5,65.8,70,75,60,20201127
Knockout.js,5,65.8,70,75,60,20201128
Knockout.js,6,65.8,70,75,60,20201129
Knockout.js,6,65.8,70,75,60,20201130
Knockout.js,6,64.0,65,75,53,20201202
Knockout.js,6,64.0,65,75,53,20201203
Knockout.js,6,64.0,65,75,53,20201204
Knockout.js,6,64.0,65,75,53,20201205
