skill,count,avg_price,med_price,max_price,min_price,created_at
C#.NET,2236,59.4,60,200,30,20201121
C#.NET,2239,59.4,60,200,30,20201122
C#.NET,2239,59.4,60,200,30,20201123
C#.NET,2239,59.4,60,200,30,20201124
C#.NET,2239,59.4,60,200,30,20201125
C#.NET,2240,59.4,60,200,30,20201126
C#.NET,2240,59.4,60,200,30,20201127
C#.NET,2246,59.4,60,200,30,20201128
C#.NET,2247,59.4,60,200,30,20201129
C#.NET,2247,59.4,60,200,30,20201130
C#.NET,2247,59.1,60,200,30,20201201
C#.NET,2248,59.1,60,200,30,20201202
C#.NET,2248,59.1,60,200,30,20201203
C#.NET,2249,59.1,60,200,30,20201204
C#.NET,2250,59.1,60,200,30,20201205
C#.NET,2259,59.1,60,200,30,20201206
C#.NET,2259,59.1,60,200,30,20201207
C#.NET,2259,59.1,60,200,30,20201208
C#.NET,2263,59.1,60,200,30,20201209
C#.NET,2263,59.1,60,200,30,20201210
C#.NET,2264,59.1,60,200,30,20201211
C#.NET,2266,59.1,60,200,30,20201212
C#.NET,2266,59.1,60,200,30,20201215
C#.NET,2279,59.1,60,200,30,20201220
C#.NET,2283,59.1,60,200,30,20201225
C#.NET,2290,59.1,60,200,30,20201230
C#.NET,2290,59.1,60,200,30,20210101
C#.NET,2291,59.1,60,200,30,20210105
C#.NET,2304,59.1,60,200,30,20210110
C#.NET,2310,59.1,60,200,30,20210115
C#.NET,2316,59.1,60,200,30,20210120
C#.NET,2322,59.1,60,200,30,20210125
C#.NET,2345,59.2,60,200,30,20210209
C#.NET,2347,59.2,60,200,30,20210210
C#.NET,2350,59.2,60,200,30,20210215
C#.NET,2361,59.2,60,200,30,20210220
C#.NET,2371,59.2,60,200,30,20210225
C#.NET,2381,59.2,60,200,30,20210305
C#.NET,2463,59.2,60,200,30,20210503
C#.NET,2464,59.2,60,200,30,20210504
C#.NET,2464,59.2,60,200,30,20210505
C#.NET,2464,59.2,60,200,30,20210506
C#.NET,2464,59.2,60,200,30,20210507
C#.NET,2467,59.2,60,200,30,20210508
C#.NET,2467,59.2,60,200,30,20210509
C#.NET,2467,59.2,60,200,30,20210510
C#.NET,2469,59.2,60,200,30,20210511
C#.NET,2471,59.2,60,200,30,20210512
C#.NET,2471,59.2,60,200,30,20210513
C#.NET,2471,59.2,60,200,30,20210514
C#.NET,2471,59.2,60,200,30,20210515
C#.NET,2472,59.2,60,200,30,20210516
C#.NET,2472,59.2,60,200,30,20210517
C#.NET,2475,59.2,60,200,30,20210518
C#.NET,2475,59.2,60,200,30,20210519
C#.NET,2477,59.2,60,200,30,20210520
C#.NET,2477,59.2,60,200,30,20210521
C#.NET,2480,59.2,60,200,30,20210522
C#.NET,2483,59.2,60,200,30,20210523
C#.NET,2483,59.2,60,200,30,20210524
C#.NET,2484,59.2,60,200,30,20210525
C#.NET,2486,59.2,60,200,30,20210526
C#.NET,2487,59.2,60,200,30,20210527
C#.NET,2487,59.2,60,200,30,20210528
C#.NET,2489,59.2,60,200,30,20210529
C#.NET,2489,59.2,60,200,30,20210530
C#.NET,2489,59.2,60,200,30,20210531
C#.NET,2490,59.2,60,200,30,20210602
C#.NET,2490,59.2,60,200,30,20210603
C#.NET,2492,59.2,60,200,30,20210604
C#.NET,2495,59.2,60,200,30,20210605
C#.NET,2496,59.2,60,200,30,20210606
C#.NET,2496,59.2,60,200,30,20210607
C#.NET,2496,59.2,60,200,30,20210608
C#.NET,2497,59.2,60,200,30,20210609
C#.NET,2498,59.2,60,200,30,20210610
C#.NET,2499,59.2,60,200,30,20210611
C#.NET,2502,59.2,60,200,30,20210613
C#.NET,2502,59.2,60,200,30,20210614
C#.NET,2503,59.2,60,200,30,20210615
C#.NET,2506,59.2,60,200,30,20210616
C#.NET,2507,59.2,60,200,30,20210617
C#.NET,2508,59.2,60,200,30,20210618
C#.NET,2511,59.2,60,200,30,20210619
C#.NET,2511,59.2,60,200,30,20210620
C#.NET,2511,59.2,60,200,30,20210621
C#.NET,2513,59.2,60,200,30,20210622
C#.NET,2514,59.2,60,200,30,20210623
C#.NET,2515,59.2,60,200,30,20210624
C#.NET,2515,59.2,60,200,30,20210625
C#.NET,2516,59.2,60,200,30,20210626
C#.NET,2518,59.2,60,200,30,20210627
C#.NET,2519,59.2,60,200,30,20210628
C#.NET,2519,59.2,60,200,30,20210629
C#.NET,2520,59.2,60,200,30,20210630
C#.NET,2520,59.1,60,200,30,20210702
C#.NET,2528,59.1,60,200,30,20210703
C#.NET,2527,59.1,60,200,30,20210704
C#.NET,2527,59.1,60,200,30,20210705
C#.NET,2527,59.1,60,200,30,20210706
C#.NET,2527,59.1,60,200,30,20210707
C#.NET,2526,59.1,60,200,30,20210708
C#.NET,2525,59.1,60,200,30,20210709
C#.NET,2532,59.1,60,200,30,20210710
C#.NET,2535,59.1,60,200,30,20210711
C#.NET,2536,59.1,60,200,30,20210713
C#.NET,2536,59.1,60,200,30,20210714
C#.NET,2536,59.1,60,200,30,20210715
C#.NET,2538,59.1,60,200,30,20210716
C#.NET,2543,59.1,60,200,30,20210717
C#.NET,2543,59.1,60,200,30,20210718
C#.NET,2544,59.1,60,200,30,20210719
C#.NET,2544,59.1,60,200,30,20210720
C#.NET,2544,59.1,60,200,30,20210721
C#.NET,2546,59.1,60,200,30,20210722
C#.NET,2546,59.1,60,200,30,20210723
C#.NET,2548,59.1,60,200,30,20210724
C#.NET,2548,59.1,60,200,30,20210725
C#.NET,2548,59.1,60,200,30,20210726
C#.NET,2552,59.1,60,200,30,20210727
