skill,count,avg_price,med_price,max_price,min_price,created_at
Objective-C,606,63.9,65,120,30,20201121
Objective-C,606,63.9,65,120,30,20201122
Objective-C,606,63.9,65,120,30,20201123
Objective-C,606,63.9,65,120,30,20201124
Objective-C,606,63.9,65,120,30,20201125
Objective-C,607,63.9,65,120,30,20201126
Objective-C,608,63.9,65,120,30,20201127
Objective-C,608,63.9,65,120,30,20201128
Objective-C,609,63.9,65,120,30,20201129
Objective-C,609,63.9,65,120,30,20201130
Objective-C,609,63.9,65,120,30,20201201
Objective-C,610,63.5,65,120,30,20201202
Objective-C,610,63.5,65,120,30,20201203
Objective-C,611,63.5,65,120,30,20201204
Objective-C,611,63.5,65,120,30,20201205
Objective-C,614,63.5,65,120,30,20201206
Objective-C,614,63.5,65,120,30,20201207
Objective-C,614,63.5,65,120,30,20201208
Objective-C,614,63.5,65,120,30,20201209
Objective-C,616,63.5,65,120,30,20201210
Objective-C,617,63.5,65,120,30,20201211
Objective-C,617,63.5,65,120,30,20201212
Objective-C,618,63.5,65,120,30,20201215
Objective-C,622,63.5,65,120,30,20201220
Objective-C,624,63.5,65,120,30,20201225
Objective-C,634,63.5,65,120,30,20201230
Objective-C,634,63.5,65,120,30,20210101
Objective-C,635,62.9,65,120,30,20210105
Objective-C,649,62.9,65,120,30,20210110
Objective-C,649,62.9,65,120,30,20210115
Objective-C,651,62.9,65,120,30,20210120
Objective-C,653,62.9,65,120,30,20210125
Objective-C,669,62.9,65,120,30,20210209
Objective-C,669,62.9,65,120,30,20210210
Objective-C,670,62.9,65,120,30,20210215
Objective-C,670,62.9,65,120,30,20210220
Objective-C,676,62.9,65,120,30,20210225
Objective-C,679,63.0,65,120,30,20210305
Objective-C,695,63.1,65,120,30,20210503
Objective-C,695,63.1,65,120,30,20210504
Objective-C,695,63.1,65,120,30,20210505
Objective-C,695,63.1,65,120,30,20210506
Objective-C,695,63.1,65,120,30,20210507
Objective-C,695,63.1,65,120,30,20210508
Objective-C,695,63.1,65,120,30,20210509
Objective-C,695,63.1,65,120,30,20210510
Objective-C,695,63.1,65,120,30,20210511
Objective-C,695,63.1,65,120,30,20210512
Objective-C,696,63.1,65,120,30,20210513
Objective-C,695,63.1,65,120,30,20210514
Objective-C,695,63.1,65,120,30,20210515
Objective-C,695,63.1,65,120,30,20210516
Objective-C,696,63.1,65,120,30,20210517
Objective-C,696,63.1,65,120,30,20210518
Objective-C,696,63.1,65,120,30,20210519
Objective-C,696,63.1,65,120,30,20210520
Objective-C,696,63.1,65,120,30,20210521
Objective-C,696,63.1,65,120,30,20210522
Objective-C,696,63.1,65,120,30,20210523
Objective-C,696,63.1,65,120,30,20210524
Objective-C,696,63.1,65,120,30,20210525
Objective-C,696,63.1,65,120,30,20210526
Objective-C,696,63.1,65,120,30,20210527
Objective-C,697,63.1,65,120,30,20210528
Objective-C,697,63.1,65,120,30,20210529
Objective-C,697,63.1,65,120,30,20210530
Objective-C,697,63.1,65,120,30,20210531
Objective-C,697,63.1,65,120,30,20210602
Objective-C,697,63.1,65,120,30,20210603
Objective-C,697,63.1,65,120,30,20210604
Objective-C,697,63.1,65,120,30,20210605
Objective-C,697,63.1,65,120,30,20210606
Objective-C,697,63.1,65,120,30,20210607
Objective-C,697,63.1,65,120,30,20210608
Objective-C,697,63.1,65,120,30,20210609
Objective-C,697,63.1,65,120,30,20210610
Objective-C,699,63.1,65,120,30,20210611
Objective-C,699,63.1,65,120,30,20210613
Objective-C,699,63.1,65,120,30,20210614
Objective-C,699,63.1,65,120,30,20210615
Objective-C,699,63.1,65,120,30,20210616
Objective-C,699,63.1,65,120,30,20210617
