skill,count,avg_price,med_price,max_price,min_price,created_at
PHP,10485,66.4,65,200,20,20201121
PHP,10509,66.4,65,200,20,20201122
PHP,10510,66.4,65,200,20,20201123
PHP,10510,66.4,65,200,20,20201124
PHP,10512,66.4,65,200,20,20201125
PHP,10516,66.4,65,200,20,20201126
PHP,10522,66.4,65,200,20,20201127
PHP,10532,66.4,65,200,20,20201128
PHP,10559,66.4,65,200,20,20201129
PHP,10568,66.4,65,200,20,20201130
PHP,10570,66.4,65,200,20,20201201
PHP,10579,66.0,65,200,20,20201202
PHP,10587,66.0,65,200,20,20201203
PHP,10592,66.0,65,200,20,20201204
PHP,10607,66.0,65,200,20,20201205
PHP,10662,66.0,65,200,20,20201206
PHP,10663,66.0,65,200,20,20201207
PHP,10664,66.0,65,200,20,20201208
PHP,10683,66.0,65,200,20,20201209
PHP,10703,66.0,65,200,20,20201210
PHP,10731,66.0,65,200,20,20201211
PHP,10757,66.0,65,200,20,20201212
PHP,10768,66.0,65,200,20,20201215
PHP,10846,66.0,65,200,20,20201220
PHP,10933,66.0,65,200,20,20201225
PHP,10994,66.0,65,200,20,20201230
PHP,10995,66.0,65,200,20,20210101
PHP,11027,65.9,65,200,20,20210105
PHP,11235,65.9,65,200,20,20210110
PHP,11299,65.9,65,200,20,20210115
PHP,11365,65.9,65,200,20,20210120
PHP,11464,65.9,65,200,20,20210125
PHP,12001,65.6,65,200,20,20210209
