skill,count,avg_price,med_price,max_price,min_price,created_at
Ruby,2919,73.4,75,150,30,20201121
Ruby,2927,73.4,75,150,30,20201122
Ruby,2927,73.4,75,150,30,20201123
Ruby,2927,73.4,75,150,30,20201124
Ruby,2934,73.4,75,150,30,20201125
Ruby,2939,73.4,75,150,30,20201126
Ruby,2942,73.4,75,150,30,20201127
Ruby,2949,73.4,75,150,30,20201128
Ruby,2955,73.4,75,150,30,20201129
Ruby,2960,73.4,75,150,30,20201130
Ruby,2960,73.4,75,150,30,20201201
Ruby,2966,73.0,75,150,30,20201202
Ruby,2974,73.0,75,150,30,20201203
Ruby,2974,73.0,75,150,30,20201204
Ruby,2978,73.0,75,150,30,20201205
Ruby,3009,73.0,75,150,30,20201206
Ruby,3010,73.0,75,150,30,20201207
Ruby,3011,73.0,75,150,30,20201208
Ruby,3019,73.0,75,150,30,20201209
Ruby,3036,73.0,75,150,30,20201210
Ruby,3039,73.0,75,150,30,20201211
Ruby,3047,73.0,75,150,30,20201212
Ruby,3063,73.0,75,150,30,20201215
Ruby,3095,73.0,75,150,30,20201220
Ruby,3137,73.0,75,150,30,20201225
Ruby,3173,73.0,75,150,30,20201230
Ruby,3173,73.0,75,150,30,20210101
Ruby,3180,73.1,75,150,30,20210105
Ruby,3273,73.1,75,150,30,20210110
Ruby,3294,73.1,75,150,30,20210115
Ruby,3319,73.1,75,150,30,20210120
Ruby,3383,73.1,75,150,30,20210125
Ruby,3746,72.5,75,200,20,20210209
Ruby,3756,72.5,75,200,20,20210210
Ruby,3768,72.5,75,200,20,20210215
Ruby,3811,72.5,75,200,20,20210220
Ruby,3858,72.5,75,200,20,20210225
Ruby,3950,72.9,75,200,20,20210305
Ruby,4448,73.0,75,200,20,20210503
Ruby,4448,73.0,75,200,20,20210504
Ruby,4450,73.0,75,200,20,20210505
Ruby,4451,73.0,75,200,20,20210506
Ruby,4451,73.0,75,200,20,20210507
Ruby,4458,73.0,75,200,20,20210508
Ruby,4458,73.0,75,200,20,20210509
Ruby,4458,73.0,75,200,20,20210510
Ruby,4466,73.0,75,200,20,20210511
Ruby,4487,73.0,75,200,20,20210512
Ruby,4500,73.0,75,200,20,20210513
Ruby,4509,73.0,75,200,20,20210514
Ruby,4534,73.0,75,200,20,20210515
Ruby,4535,73.0,75,200,20,20210516
Ruby,4537,73.0,75,200,20,20210517
Ruby,4544,73.0,75,200,20,20210518
Ruby,4549,73.0,75,200,20,20210519
Ruby,4562,73.0,75,200,20,20210520
Ruby,4568,73.0,75,200,20,20210521
Ruby,4581,73.0,75,200,20,20210522
Ruby,4585,73.0,75,200,20,20210523
Ruby,4585,73.0,75,200,20,20210524
Ruby,4605,73.0,75,200,20,20210525
Ruby,4618,73.0,75,200,20,20210526
Ruby,4626,73.0,75,200,20,20210527
Ruby,4634,73.0,75,200,20,20210528
Ruby,4648,73.0,75,200,20,20210529
Ruby,4654,73.0,75,200,20,20210530
Ruby,4658,73.0,75,200,20,20210531
Ruby,4680,73.2,75,200,20,20210602
Ruby,4682,73.2,75,200,20,20210603
Ruby,4690,73.2,75,200,20,20210604
Ruby,4704,73.2,75,200,20,20210605
Ruby,4705,73.2,75,200,20,20210606
Ruby,4705,73.2,75,200,20,20210607
Ruby,4711,73.2,75,200,20,20210608
Ruby,4721,73.2,75,200,20,20210609
Ruby,4735,73.2,75,200,20,20210610
Ruby,4739,73.2,75,200,20,20210611
Ruby,4757,73.2,75,200,20,20210613
Ruby,4757,73.2,75,200,20,20210614
Ruby,4766,73.2,75,200,20,20210615
Ruby,4781,73.2,75,200,20,20210616
Ruby,4792,73.2,75,200,20,20210617
Ruby,4804,73.2,75,200,20,20210618
Ruby,4812,73.2,75,200,20,20210619
Ruby,4812,73.2,75,200,20,20210620
Ruby,4812,73.2,75,200,20,20210621
Ruby,4829,73.2,75,200,20,20210622
Ruby,4845,73.2,75,200,20,20210623
Ruby,4879,73.2,75,200,20,20210624
Ruby,4885,73.2,75,200,20,20210625
Ruby,4894,73.2,75,200,20,20210626
Ruby,4896,73.2,75,200,20,20210627
Ruby,4896,73.2,75,200,20,20210628
Ruby,4907,73.2,75,200,20,20210629
Ruby,4918,73.2,75,200,20,20210630
Ruby,4933,73.3,75,200,20,20210702
Ruby,4938,73.3,75,200,20,20210703
Ruby,4941,73.3,75,200,20,20210704
Ruby,4942,73.3,75,200,20,20210705
Ruby,4949,73.3,75,200,20,20210706
Ruby,4949,73.3,75,200,20,20210707
Ruby,4960,73.3,75,200,20,20210708
Ruby,4961,73.3,75,200,20,20210709
Ruby,4965,73.3,75,200,20,20210710
Ruby,4966,73.3,75,200,20,20210711
Ruby,4974,73.3,75,200,20,20210713
Ruby,4976,73.3,75,200,20,20210714
Ruby,4978,73.3,75,200,20,20210715
Ruby,4983,73.3,75,200,20,20210716
Ruby,4996,73.3,75,200,20,20210717
Ruby,4997,73.3,75,200,20,20210718
Ruby,4997,73.3,75,200,20,20210719
Ruby,5002,73.3,75,200,20,20210720
Ruby,5005,73.3,75,200,20,20210721
