skill,count,avg_price,med_price,max_price,min_price,created_at
SQL,3807,61.6,60,180,20,20201121
SQL,3816,61.6,60,180,20,20201122
SQL,3816,61.6,60,180,20,20201123
SQL,3817,61.6,60,180,20,20201124
SQL,3817,61.6,60,180,20,20201125
SQL,3818,61.6,60,180,20,20201126
SQL,3818,61.6,60,180,20,20201127
SQL,3822,61.6,60,180,20,20201128
SQL,3825,61.6,60,180,20,20201129
SQL,3825,61.6,60,180,20,20201130
SQL,3825,61.2,60,180,20,20201202
SQL,3827,61.2,60,180,20,20201203
SQL,3830,61.2,60,180,20,20201204
SQL,3834,61.2,60,180,20,20201205
SQL,3847,61.2,60,180,20,20201206
SQL,3847,61.2,60,180,20,20201207
SQL,3847,61.2,60,180,20,20201208
SQL,3847,61.2,60,180,20,20201209
SQL,3850,61.2,60,180,20,20201210
SQL,3853,61.2,60,180,20,20201211
SQL,3859,61.2,60,180,20,20201212
SQL,3866,61.2,60,180,20,20201215
SQL,3888,61.2,60,180,20,20201220
SQL,3901,61.2,60,180,20,20201225
SQL,3913,61.2,60,180,20,20201230
SQL,3913,61.2,60,180,20,20210101
SQL,3917,61.2,60,180,20,20210105
SQL,4013,61.2,60,180,20,20210110
SQL,4028,61.2,60,180,20,20210115
SQL,4045,61.2,60,180,20,20210120
SQL,4074,61.2,60,180,20,20210125
SQL,4141,61.7,60,200,20,20210209
SQL,4147,61.7,60,200,20,20210210
SQL,4158,61.7,60,200,20,20210215
SQL,4185,61.7,60,200,20,20210220
SQL,4200,61.7,60,200,20,20210225
SQL,4221,61.7,60,200,20,20210305
SQL,4358,61.8,60,200,20,20210503
SQL,4359,61.8,60,200,20,20210504
SQL,4359,61.8,60,200,20,20210505
SQL,4362,61.8,60,200,20,20210506
SQL,4362,61.8,60,200,20,20210507
SQL,4366,61.8,60,200,20,20210508
SQL,4366,61.8,60,200,20,20210509
SQL,4366,61.8,60,200,20,20210510
SQL,4374,61.8,60,200,20,20210511
SQL,4377,61.8,60,200,20,20210512
SQL,4380,61.8,60,200,20,20210513
SQL,4383,61.8,60,200,20,20210514
SQL,4391,61.8,60,200,20,20210515
SQL,4391,61.8,60,200,20,20210516
SQL,4391,61.8,60,200,20,20210517
SQL,4394,61.8,60,200,20,20210518
SQL,4399,61.8,60,200,20,20210519
SQL,4400,61.8,60,200,20,20210520
SQL,4401,61.8,60,200,20,20210521
SQL,4409,61.8,60,200,20,20210522
SQL,4414,61.8,60,200,20,20210523
SQL,4414,61.8,60,200,20,20210524
SQL,4415,61.8,60,200,20,20210525
SQL,4415,61.8,60,200,20,20210526
SQL,4418,61.8,60,200,20,20210527
SQL,4421,61.8,60,200,20,20210528
SQL,4432,61.8,60,200,20,20210529
SQL,4434,61.8,60,200,20,20210530
SQL,4435,61.8,60,200,20,20210531
SQL,4440,61.8,60,200,20,20210602
SQL,4438,61.8,60,200,20,20210603
SQL,4449,61.8,60,200,20,20210604
SQL,4467,61.8,60,200,20,20210605
SQL,4467,61.8,60,200,20,20210606
SQL,4467,61.8,60,200,20,20210607
SQL,4467,61.8,60,200,20,20210608
SQL,4469,61.8,60,200,20,20210609
SQL,4475,61.8,60,200,20,20210610
SQL,4476,61.8,60,200,20,20210611
SQL,4486,61.8,60,200,20,20210613
SQL,4486,61.8,60,200,20,20210614
SQL,4492,61.8,60,200,20,20210615
SQL,4498,61.8,60,200,20,20210616
SQL,4504,61.8,60,200,20,20210617
SQL,4506,61.8,60,200,20,20210618
SQL,4514,61.8,60,200,20,20210619
SQL,4514,61.8,60,200,20,20210620
SQL,4514,61.8,60,200,20,20210621
SQL,4520,61.8,60,200,20,20210622
SQL,4528,61.8,60,200,20,20210623
SQL,4536,61.8,60,200,20,20210624
SQL,4539,61.8,60,200,20,20210625
SQL,4548,61.8,60,200,20,20210626
SQL,4550,61.8,60,200,20,20210627
SQL,4552,61.8,60,200,20,20210628
SQL,4558,61.8,60,200,20,20210629
SQL,4563,61.8,60,200,20,20210630
SQL,4573,61.9,60,200,20,20210702
SQL,4577,61.9,60,200,20,20210703
SQL,4579,61.9,60,200,20,20210704
SQL,4579,61.9,60,200,20,20210705
SQL,4582,61.9,60,200,20,20210706
SQL,4587,61.9,60,200,20,20210707
SQL,4590,61.9,60,200,20,20210708
SQL,4591,61.9,60,200,20,20210709
SQL,4594,61.9,60,200,20,20210710
SQL,4594,61.9,60,200,20,20210711
SQL,4596,61.9,60,200,20,20210713
SQL,4600,61.9,60,200,20,20210714
SQL,4603,61.9,60,200,20,20210715
SQL,4607,61.9,60,200,20,20210716
SQL,4618,61.9,60,200,20,20210717
SQL,4618,61.9,60,200,20,20210718
SQL,4618,61.9,60,200,20,20210719
SQL,4619,61.9,60,200,20,20210720
SQL,4623,61.9,60,200,20,20210721
SQL,4628,61.9,60,200,20,20210722
SQL,4628,61.9,60,200,20,20210723
SQL,4633,61.9,60,200,20,20210724
SQL,4633,61.9,60,200,20,20210725
SQL,4634,61.9,60,200,20,20210726
SQL,4642,61.9,60,200,20,20210727
SQL,4648,61.9,60,200,20,20210728
SQL,4651,61.9,60,200,20,20210729
SQL,4661,61.9,60,200,20,20210730
SQL,4663,61.9,60,200,20,20210731
SQL,4662,62.0,60,200,20,20210802
SQL,4661,62.0,60,200,20,20210803
SQL,4663,62.0,60,200,20,20210804
SQL,4670,62.0,60,200,20,20210805
SQL,4673,62.0,60,200,20,20210806
SQL,4683,62.0,60,200,20,20210807
SQL,4683,62.0,60,200,20,20210808
SQL,4685,62.0,60,200,20,20210809
SQL,4685,62.0,60,200,20,20210810
SQL,4692,62.0,60,200,20,20210812
SQL,4696,62.0,60,200,20,20210814
SQL,4697,62.0,60,200,20,20210815
SQL,4698,62.0,60,200,20,20210816
SQL,4699,62.0,60,200,20,20210817
SQL,4702,62.0,60,200,20,20210818
SQL,4704,62.0,60,200,20,20210819
SQL,4709,62.0,60,200,20,20210820
SQL,4718,62.0,60,200,20,20210821
SQL,4719,62.0,60,200,20,20210822
