skill,count,avg_price,med_price,max_price,min_price,created_at
Unity,1496,70.4,70,140,30,20201121
Unity,1500,70.4,70,140,30,20201122
Unity,1501,70.4,70,140,30,20201123
Unity,1501,70.4,70,140,30,20201124
Unity,1502,70.4,70,140,30,20201125
Unity,1503,70.4,70,140,30,20201126
Unity,1504,70.4,70,140,30,20201127
Unity,1504,70.4,70,140,30,20201128
Unity,1505,70.4,70,140,30,20201129
Unity,1506,70.4,70,140,30,20201130
Unity,1507,70.4,70,140,30,20201201
Unity,1508,70.2,70,140,20,20201202
Unity,1509,70.2,70,140,20,20201203
Unity,1510,70.2,70,140,20,20201204
Unity,1512,70.2,70,140,20,20201205
Unity,1512,70.2,70,140,20,20201206
Unity,1514,70.2,70,140,20,20201207
Unity,1514,70.2,70,140,20,20201208
Unity,1515,70.2,70,140,20,20201209
Unity,1517,70.2,70,140,20,20201210
Unity,1520,70.2,70,140,20,20201211
Unity,1522,70.2,70,140,20,20201212
Unity,1523,70.2,70,140,20,20201215
Unity,1531,70.2,70,140,20,20201220
Unity,1538,70.2,70,140,20,20201225
Unity,1547,70.2,70,140,20,20201230
Unity,1547,70.2,70,140,20,20210101
Unity,1550,70.2,70,140,20,20210105
Unity,1571,70.2,70,140,20,20210110
Unity,1582,70.2,70,140,20,20210115
Unity,1597,70.2,70,140,20,20210120
Unity,1614,70.2,70,140,20,20210125
Unity,1693,69.6,70,140,20,20210209
Unity,1694,69.6,70,140,20,20210210
Unity,1701,69.6,70,140,20,20210215
Unity,1713,69.6,70,140,20,20210220
Unity,1718,69.6,70,140,20,20210225
Unity,1731,69.4,70,140,20,20210305
Unity,1849,69.4,70,150,20,20210503
Unity,1849,69.4,70,150,20,20210504
Unity,1850,69.4,70,150,20,20210505
Unity,1850,69.4,70,150,20,20210506
Unity,1851,69.4,70,150,20,20210507
Unity,1852,69.4,70,150,20,20210508
Unity,1852,69.4,70,150,20,20210509
Unity,1852,69.4,70,150,20,20210510
Unity,1853,69.4,70,150,20,20210511
Unity,1854,69.4,70,150,20,20210512
Unity,1855,69.4,70,150,20,20210513
Unity,1855,69.4,70,150,20,20210514
Unity,1857,69.4,70,150,20,20210515
Unity,1858,69.4,70,150,20,20210516
Unity,1858,69.4,70,150,20,20210517
Unity,1860,69.4,70,150,20,20210518
Unity,1863,69.4,70,150,20,20210519
Unity,1865,69.4,70,150,20,20210520
Unity,1866,69.4,70,150,20,20210521
Unity,1870,69.4,70,150,20,20210522
Unity,1870,69.4,70,150,20,20210523
Unity,1870,69.4,70,150,20,20210524
Unity,1870,69.4,70,150,20,20210525
Unity,1872,69.4,70,150,20,20210526
Unity,1872,69.4,70,150,20,20210527
Unity,1875,69.4,70,150,20,20210528
Unity,1876,69.4,70,150,20,20210529
Unity,1876,69.4,70,150,20,20210530
Unity,1878,69.4,70,150,20,20210531
Unity,1882,69.3,70,150,20,20210602
Unity,1885,69.3,70,150,20,20210603
Unity,1886,69.3,70,150,20,20210604
Unity,1887,69.3,70,150,20,20210605
Unity,1889,69.3,70,150,20,20210606
Unity,1889,69.3,70,150,20,20210607
Unity,1891,69.3,70,150,20,20210608
Unity,1895,69.3,70,150,20,20210609
Unity,1900,69.3,70,150,20,20210610
Unity,1903,69.3,70,150,20,20210611
Unity,1905,69.3,70,150,20,20210613
Unity,1905,69.3,70,150,20,20210614
Unity,1907,69.3,70,150,20,20210615
Unity,1908,69.3,70,150,20,20210616
Unity,1911,69.3,70,150,20,20210617
Unity,1912,69.3,70,150,20,20210618
Unity,1915,69.3,70,150,20,20210619
Unity,1915,69.3,70,150,20,20210620
Unity,1915,69.3,70,150,20,20210621
Unity,1915,69.3,70,150,20,20210622
Unity,1917,69.3,70,150,20,20210623
Unity,1920,69.3,70,150,20,20210624
Unity,1921,69.3,70,150,20,20210625
Unity,1927,69.3,70,150,20,20210626
Unity,1928,69.3,70,150,20,20210627
Unity,1927,69.3,70,150,20,20210628
Unity,1930,69.3,70,150,20,20210629
Unity,1930,69.3,70,150,20,20210630
Unity,1933,69.3,70,150,20,20210702
Unity,1939,69.3,70,150,20,20210703
Unity,1939,69.3,70,150,20,20210704
Unity,1939,69.3,70,150,20,20210705
Unity,1939,69.3,70,150,20,20210706
Unity,1943,69.3,70,150,20,20210707
Unity,1945,69.3,70,150,20,20210708
Unity,1945,69.3,70,150,20,20210709
Unity,1949,69.3,70,150,20,20210710
Unity,1949,69.3,70,150,20,20210711
Unity,1951,69.3,70,150,20,20210713
Unity,1953,69.3,70,150,20,20210714
Unity,1958,69.3,70,150,20,20210715
Unity,1960,69.3,70,150,20,20210716
Unity,1961,69.3,70,150,20,20210717
Unity,1964,69.3,70,150,20,20210718
Unity,1964,69.3,70,150,20,20210719
Unity,1965,69.3,70,150,20,20210720
Unity,1966,69.3,70,150,20,20210721
Unity,1971,69.3,70,150,20,20210722
Unity,1973,69.3,70,150,20,20210723
Unity,1975,69.3,70,150,20,20210724
Unity,1975,69.3,70,150,20,20210725
Unity,1975,69.3,70,150,20,20210726
Unity,1987,69.3,70,150,20,20210727
Unity,1987,69.3,70,150,20,20210728
Unity,1992,69.3,70,150,20,20210729
Unity,2006,69.3,70,150,20,20210730
