skill,count,avg_price,med_price,max_price,min_price,created_at
Linux,2234,64.3,63,190,30,20201121
Linux,2242,64.3,63,190,30,20201122
Linux,2242,64.3,63,190,30,20201123
Linux,2242,64.3,63,190,30,20201124
Linux,2242,64.3,63,190,30,20201125
Linux,2243,64.3,63,190,30,20201126
Linux,2243,64.3,63,190,30,20201127
Linux,2246,64.3,63,190,30,20201128
Linux,2247,64.3,63,190,30,20201129
Linux,2249,64.3,63,190,30,20201130
Linux,2251,63.5,60,190,30,20201202
Linux,2252,63.5,60,190,30,20201203
Linux,2252,63.5,60,190,30,20201204
