skill,count,avg_price,med_price,max_price,min_price,created_at
Maya,251,61.1,60,80,30,20201121
Maya,251,61.1,60,80,30,20201122
Maya,251,61.1,60,80,30,20201123
Maya,251,61.1,60,80,30,20201124
Maya,251,61.1,60,80,30,20201125
Maya,253,61.1,60,80,30,20201126
Maya,256,61.1,60,80,30,20201127
Maya,256,61.1,60,80,30,20201128
Maya,256,61.1,60,80,30,20201129
Maya,256,61.1,60,80,30,20201130
Maya,256,61.1,60,100,30,20201202
Maya,256,61.1,60,100,30,20201203
Maya,256,61.1,60,100,30,20201204
Maya,259,61.1,60,100,30,20201205
Maya,259,61.1,60,100,30,20201206
Maya,259,61.1,60,100,30,20201207
Maya,259,61.1,60,100,30,20201208
