skill,count,avg_price,med_price,max_price,min_price,created_at
NuxtJS,5,86.3,82.5,100,80,20201121
NuxtJS,5,86.3,82.5,100,80,20201122
NuxtJS,5,86.3,82.5,100,80,20201123
NuxtJS,5,86.3,82.5,100,80,20201124
NuxtJS,5,86.3,82.5,100,80,20201125
NuxtJS,5,86.3,82.5,100,80,20201126
NuxtJS,5,86.3,82.5,100,80,20201127
NuxtJS,5,86.3,82.5,100,80,20201128
NuxtJS,5,86.3,82.5,100,80,20201129
NuxtJS,5,86.3,82.5,100,80,20201130
NuxtJS,5,81.0,80,100,60,20201202
NuxtJS,5,81.0,80,100,60,20201203
NuxtJS,5,81.0,80,100,60,20201204
NuxtJS,5,81.0,80,100,60,20201205
NuxtJS,5,81.0,80,100,60,20201206
