skill,count,avg_price,med_price,max_price,min_price,created_at
PL/SQL,1609,55.0,55,150,30,20201121
PL/SQL,1618,55.0,55,150,30,20201122
PL/SQL,1618,55.0,55,150,30,20201123
PL/SQL,1618,55.0,55,150,30,20201124
PL/SQL,1618,55.0,55,150,30,20201125
PL/SQL,1619,55.0,55,150,30,20201126
PL/SQL,1619,55.0,55,150,30,20201127
PL/SQL,1621,55.0,55,150,30,20201128
PL/SQL,1621,55.0,55,150,30,20201129
PL/SQL,1621,55.0,55,150,30,20201130
PL/SQL,1621,54.8,55,150,30,20201202
PL/SQL,1621,54.8,55,150,30,20201203
PL/SQL,1621,54.8,55,150,30,20201204
PL/SQL,1622,54.8,55,150,30,20201205
PL/SQL,1625,54.8,55,150,30,20201206
PL/SQL,1625,54.8,55,150,30,20201207
PL/SQL,1625,54.8,55,150,30,20201208
