skill,count,avg_price,med_price,max_price,min_price,created_at
Swift,1249,73.9,75,140,30,20201121
Swift,1254,73.9,75,140,30,20201122
Swift,1255,73.9,75,140,30,20201123
Swift,1255,73.9,75,140,30,20201124
Swift,1255,73.9,75,140,30,20201125
Swift,1255,73.9,75,140,30,20201126
Swift,1257,73.9,75,140,30,20201127
Swift,1272,73.9,75,140,30,20201128
Swift,1271,73.9,75,140,30,20201129
Swift,1272,73.9,75,140,30,20201130
Swift,1272,73.2,75,140,30,20201201
Swift,1272,73.2,75,140,30,20201202
Swift,1273,73.2,75,140,30,20201203
Swift,1275,73.2,75,140,30,20201204
Swift,1276,73.2,75,140,30,20201205
Swift,1289,73.2,75,140,30,20201206
Swift,1290,73.2,75,140,30,20201207
