skill,count,avg_price,med_price,max_price,min_price,created_at
Unity,1496,70.4,70,140,30,20201121
Unity,1500,70.4,70,140,30,20201122
Unity,1501,70.4,70,140,30,20201123
Unity,1501,70.4,70,140,30,20201124
Unity,1502,70.4,70,140,30,20201125
Unity,1503,70.4,70,140,30,20201126
Unity,1504,70.4,70,140,30,20201127
Unity,1504,70.4,70,140,30,20201128
Unity,1505,70.4,70,140,30,20201129
Unity,1506,70.4,70,140,30,20201130
Unity,1507,70.4,70,140,30,20201201
Unity,1508,70.2,70,140,20,20201202
Unity,1509,70.2,70,140,20,20201203
Unity,1510,70.2,70,140,20,20201204
Unity,1512,70.2,70,140,20,20201205
Unity,1512,70.2,70,140,20,20201206
