skill,count,avg_price,med_price,max_price,min_price,created_at
Vuex,5,68.8,67.5,80,60,20201121
Vuex,5,68.8,67.5,80,60,20201122
Vuex,5,68.8,67.5,80,60,20201123
Vuex,5,68.8,67.5,80,60,20201124
Vuex,5,68.8,67.5,80,60,20201125
Vuex,5,68.8,67.5,80,60,20201126
Vuex,5,68.8,67.5,80,60,20201127
Vuex,5,68.8,67.5,80,60,20201128
Vuex,5,68.8,67.5,80,60,20201129
Vuex,5,68.8,67.5,80,60,20201130
Vuex,5,71.0,75,80,60,20201202
Vuex,5,71.0,75,80,60,20201203
Vuex,5,71.0,75,80,60,20201204
Vuex,5,71.0,75,80,60,20201205
Vuex,6,71.0,75,80,60,20201206
Vuex,6,71.0,75,80,60,20201207
Vuex,6,71.0,75,80,60,20201208
