skill,count,avg_price,med_price,max_price,min_price,created_at
Zend Framework,11,62.0,60,70,50,20201121
Zend Framework,12,62.0,60,70,50,20201122
Zend Framework,12,62.0,60,70,50,20201123
Zend Framework,12,62.0,60,70,50,20201124
Zend Framework,12,62.0,60,70,50,20201125
Zend Framework,12,62.0,60,70,50,20201126
Zend Framework,12,62.0,60,70,50,20201127
Zend Framework,12,62.0,60,70,50,20201128
Zend Framework,12,62.0,60,70,50,20201129
Zend Framework,12,62.0,60,70,50,20201130
Zend Framework,12,74.7,67.5,115,50,20201202
Zend Framework,12,74.7,67.5,115,50,20201203
Zend Framework,12,74.7,67.5,115,50,20201204
