skill,count,avg_price,med_price,max_price,min_price,created_at
Adobe XD,69,63.4,65,100,44,20201121
Adobe XD,69,63.4,65,100,44,20201122
Adobe XD,69,63.4,65,100,44,20201123
Adobe XD,69,63.4,65,100,44,20201124
Adobe XD,69,63.4,65,100,44,20201125
Adobe XD,69,63.4,65,100,44,20201126
Adobe XD,70,63.4,65,100,44,20201127
Adobe XD,70,63.4,65,100,44,20201128
Adobe XD,70,63.4,65,100,44,20201129
Adobe XD,70,63.4,65,100,44,20201130
Adobe XD,71,64.2,65,100,40,20201202
Adobe XD,72,64.2,65,100,40,20201203
Adobe XD,73,64.2,65,100,40,20201204
Adobe XD,74,64.2,65,100,40,20201205
Adobe XD,75,64.2,65,100,40,20201206
Adobe XD,75,64.2,65,100,40,20201207
Adobe XD,75,64.2,65,100,40,20201208
Adobe XD,75,64.2,65,100,40,20201209
Adobe XD,75,64.2,65,100,40,20201210
Adobe XD,75,64.2,65,100,40,20201211
Adobe XD,75,64.2,65,100,40,20201212
Adobe XD,75,64.2,65,100,40,20201215
Adobe XD,75,64.2,65,100,40,20201220
Adobe XD,76,64.2,65,100,40,20201225
Adobe XD,76,64.2,65,100,40,20201230
Adobe XD,76,63.5,65,100,35,20210105
Adobe XD,81,63.5,65,100,35,20210110
Adobe XD,82,63.5,65,100,35,20210115
Adobe XD,83,63.5,65,100,35,20210120
Adobe XD,84,63.5,65,100,35,20210125
Adobe XD,93,63.5,65,100,35,20210209
Adobe XD,93,63.5,65,100,35,20210210
Adobe XD,93,63.5,65,100,35,20210215
Adobe XD,95,63.5,65,100,35,20210220
Adobe XD,98,63.5,65,100,35,20210225
Adobe XD,107,63.5,65,100,35,20210305
Adobe XD,121,64.1,65,100,20,20210503
Adobe XD,121,64.1,65,100,20,20210504
Adobe XD,121,64.1,65,100,20,20210505
Adobe XD,121,64.1,65,100,20,20210506
Adobe XD,121,64.1,65,100,20,20210507
Adobe XD,121,64.1,65,100,20,20210508
Adobe XD,121,64.1,65,100,20,20210509
Adobe XD,121,64.1,65,100,20,20210510
Adobe XD,122,64.1,65,100,20,20210511
Adobe XD,123,64.1,65,100,20,20210512
Adobe XD,123,64.1,65,100,20,20210513
Adobe XD,123,64.1,65,100,20,20210514
Adobe XD,123,64.1,65,100,20,20210515
Adobe XD,123,64.1,65,100,20,20210516
Adobe XD,123,64.1,65,100,20,20210517
Adobe XD,124,64.1,65,100,20,20210518
Adobe XD,124,64.1,65,100,20,20210519
Adobe XD,124,64.1,65,100,20,20210520
Adobe XD,124,64.1,65,100,20,20210521
Adobe XD,124,64.1,65,100,20,20210522
Adobe XD,124,64.1,65,100,20,20210523
Adobe XD,124,64.1,65,100,20,20210524
Adobe XD,124,64.1,65,100,20,20210525
Adobe XD,124,64.1,65,100,20,20210526
Adobe XD,124,64.1,65,100,20,20210527
Adobe XD,124,64.1,65,100,20,20210528
Adobe XD,125,64.1,65,100,20,20210529
Adobe XD,125,64.1,65,100,20,20210530
Adobe XD,126,64.1,65,100,20,20210531
Adobe XD,126,63.5,65,100,20,20210602
Adobe XD,126,63.5,65,100,20,20210603
Adobe XD,126,63.5,65,100,20,20210604
Adobe XD,126,63.5,65,100,20,20210605
Adobe XD,126,63.5,65,100,20,20210606
Adobe XD,126,63.5,65,100,20,20210607
Adobe XD,128,63.5,65,100,20,20210608
Adobe XD,128,63.5,65,100,20,20210609
Adobe XD,129,63.5,65,100,20,20210610
Adobe XD,131,63.5,65,100,20,20210611
Adobe XD,131,63.5,65,100,20,20210613
Adobe XD,131,63.5,65,100,20,20210614
Adobe XD,132,63.5,65,100,20,20210615
Adobe XD,132,63.5,65,100,20,20210616
Adobe XD,133,63.5,65,100,20,20210617
Adobe XD,134,63.5,65,100,20,20210618
Adobe XD,134,63.5,65,100,20,20210619
Adobe XD,134,63.5,65,100,20,20210620
Adobe XD,134,63.5,65,100,20,20210621
Adobe XD,134,63.5,65,100,20,20210622
Adobe XD,136,63.5,65,100,20,20210623
Adobe XD,138,63.5,65,100,20,20210624
Adobe XD,140,63.5,65,100,20,20210625
Adobe XD,140,63.5,65,100,20,20210626
Adobe XD,140,63.5,65,100,20,20210627
Adobe XD,140,63.5,65,100,20,20210628
Adobe XD,141,63.5,65,100,20,20210629
Adobe XD,141,63.5,65,100,20,20210630
Adobe XD,141,63.7,65,100,20,20210702
Adobe XD,141,63.7,65,100,20,20210703
Adobe XD,141,63.7,65,100,20,20210704
Adobe XD,141,63.7,65,100,20,20210705
Adobe XD,141,63.7,65,100,20,20210706
Adobe XD,142,63.7,65,100,20,20210707
Adobe XD,144,63.7,65,100,20,20210708
Adobe XD,144,63.7,65,100,20,20210709
Adobe XD,145,63.7,65,100,20,20210710
Adobe XD,145,63.7,65,100,20,20210711
