created_at,skill,count,avg_price,max_price,min_price
20201127,Force.com,2,70,70,70
20201127,Heroku,30,75,102,55
20201127,Amazon SimpleDB,1,80,80,80
20201127,Microsoft Azure,142,67,90,50
20201127,Amazon EC2,2,74,85,64
20201127,OpenStack,21,64,80,45
20201127,Google App Engine,7,77,95,60
20201127,AWS,1935,76,135,20
20201127,Office 365,10,58,75,40
20201127,Dynamics CRM,1,65,65,65
20201127,Google Cloud Platform,60,80,105,53
20201127,OpenShift,5,62,65,60
20201127,Amazon S3,2,80,85,75
20201127,Amazon VPC,1,70,70,70
20201127,MVC,69,68,95,37
20201127,MyBatis,62,71,85,55
20201127,Rails,247,81,115,45
20201127,Struts,136,67,95,45
20201127,Spark,19,82,95,55
20201127,intra-mart,14,70,135,50
20201127,Knockout.js,4,72,90,55
20201127,Pyramid,12,77,105,65
20201127,Liferay,1,70,70,70
20201127,Backbone.js,77,76,115,39
20201127,Silex,4,76,80,75
20201127,Seasar2,32,70,95,49
20201127,iBATIS,14,69,95,55
20201127,CakePHP,150,71,95,50
20201127,JSF,18,65,95,55
20201127,Flask,25,82,125,65
20201127,CodeIgniter,39,74,105,45
20201127,React,386,77,115,40
20201127,SAStruts,16,71,95,57
20201127,Laravel,347,73,125,40
20201127,Spring,379,71,115,45
20201127,AngularJS,155,74,105,47
20201127,Django,90,83,115,55
20201127,Padrino,2,82,85,80
20201127,PhoneGap,3,86,95,80
20201127,Catalyst,26,64,72,55
20201127,Symfony,55,74,95,55
20201127,Bottle,1,75,75,75
20201127,FuelPHP,103,76,115,50
20201127,JUnit,81,73,125,50
20201127,jQuery,360,70,95,35
20201127,Wicket,3,82,95,70
20201127,Node.js,262,77,125,45
20201127,Sinatra,6,78,85,75
20201127,IMS,3,58,64,55
20201127,DB2,79,64,95,35
20201127,Oracle,979,66,115,25
20201127,Bigtable,3,86,95,80
20201127,SQLite,20,72,90,55
20201127,Symfoware Server,4,60,65,55
20201127,Redis,300,78,105,39
20201127,PostgreSQL,494,71,135,35
20201127,Hbase,5,68,75,60
20201127,MySQL,1475,75,125,35
20201127,Riak,5,63,100,45
20201127,Access,90,60,145,40
20201127,Kyoto Tycoon,1,75,75,75
20201127,SQL Server,386,65,95,35
20201127,Cassandra,14,62,80,45
20201127,Sybase,6,75,85,65
20201127,Sass,57,71,115,45
20201127,PL/SQL,153,63,85,45
20201127,SAS,12,61,75,50
20201127,VBA,169,60,145,30
20201127,VB.NET,290,62,85,40
20201127,CoffeeScript,16,81,95,65
20201127,C#.NET,151,62,80,32
20201127,ABAP,12,67,80,55
20201127,Scala,117,83,115,55
20201127,Transact-SQL,6,65,75,55
20201127,C++,379,72,125,45
20201127,Kotlin,272,83,125,45
20201127,HTML5,307,72,115,35
20201127,Perl,108,73,110,50
20201127,Smalltalk,2,75,80,70
20201127,C言語,273,68,115,35
20201127,JSP,55,68,105,55
20201127,Ruby,659,80,125,39
20201127,Go,363,81,125,39
20201127,Lua,6,73,80,65
20201127,Apex,51,79,135,55
20201127,ASP.NET,165,65,95,48
20201127,COBOL,83,61,95,37
20201127,R言語,19,78,95,65
20201127,HTML,681,69,125,35
20201127,VC,9,61,66,50
20201127,Swift,409,81,125,50
20201127,Shell,194,64,95,45
20201127,CSS,657,70,125,35
20201127,VC++,30,65,90,52
20201127,UML,7,70,85,50
20201127,Objective-C,249,76,115,40
20201127,VBScript,44,62,75,45
20201127,Python,677,77,145,32
20201127,VB,89,62,85,40
20201127,CSS3,211,75,115,35
20201127,PHP,1574,72,145,35
20201127,C#,716,68,115,35
20201127,SQL,893,65,145,33
20201127,Java,2516,70,145,25
20201127,LESS,9,74,115,55
20201127,JavaScript,1771,72,125,20
20201127,AS/400,1,65,65,65
20201127,Unix,237,69,100,40
20201127,Windows Server,396,62,100,33
20201127,HP-UX,21,62,75,55
20201127,Red Hat,92,66,95,40
20201127,Ubuntu,39,75,90,45
20201127,Windows,1011,63,135,25
20201127,Android,567,78,125,35
20201127,FreeBSD,3,70,75,62
20201127,Solaris,37,61,80,40
20201127,AIX,77,63,90,52
20201127,Linux,0,69,135,30
