skill,count,avg_price,max_price,min_price,created_at
Amazon SimpleDB,1,80,80,80,20201121
Amazon SimpleDB,1,80,80,80,20201122
Amazon SimpleDB,1,80,80,80,20201123
Amazon SimpleDB,1,80,80,80,20201124
Amazon SimpleDB,1,80,80,80,20201125
Amazon SimpleDB,1,80,80,80,20201126
Amazon SimpleDB,1,80,80,80,20201127
Amazon SimpleDB,1,80,80,80,20201128
Amazon SimpleDB,1,80,80,80,20201204
Amazon SimpleDB,1,80,80,80,20201205
Amazon SimpleDB,1,80,80,80,20201206
Amazon SimpleDB,1,80,80,80,20201207
Amazon SimpleDB,1,80,80,80,20201208
