skill,count,avg_price,max_price,min_price,created_at
Amazon VPC,1,70,70,70,20201121
Amazon VPC,1,70,70,70,20201122
Amazon VPC,1,70,70,70,20201123
Amazon VPC,1,70,70,70,20201124
Amazon VPC,1,70,70,70,20201125
Amazon VPC,1,70,70,70,20201126
Amazon VPC,1,70,70,70,20201127
Amazon VPC,1,70,70,70,20201128
Amazon VPC,1,70,70,70,20201204
Amazon VPC,1,70,70,70,20201205
Amazon VPC,1,70,70,70,20201206
Amazon VPC,1,70,70,70,20201207
Amazon VPC,1,70,70,70,20201208
Amazon VPC,1,70,70,70,20201209
Amazon VPC,1,70,70,70,20201210
Amazon VPC,1,70,70,70,20201211
Amazon VPC,1,70,70,70,20201212
Amazon VPC,1,70,70,70,20201215
Amazon VPC,1,70,70,70,20201220
Amazon VPC,1,70,70,70,20201225
Amazon VPC,1,70,70,70,20201230
Amazon VPC,1,70,70,70,20210101
Amazon VPC,1,70,70,70,20210105
Amazon VPC,1,70,70,70,20210110
Amazon VPC,1,70,70,70,20210115
Amazon VPC,1,70,70,70,20210120
Amazon VPC,1,70,70,70,20210125
Amazon VPC,1,70,70,70,20210209
Amazon VPC,1,70,70,70,20210210
Amazon VPC,1,70,70,70,20210215
Amazon VPC,1,70,70,70,20210220
Amazon VPC,1,70,70,70,20210225
Amazon VPC,1,70,70,70,20210301
Amazon VPC,1,70,70,70,20210305
Amazon VPC,1,70,70,70,20210310
Amazon VPC,1,70,70,70,20210315
Amazon VPC,1,70,70,70,20210320
Amazon VPC,1,70,70,70,20210325
Amazon VPC,1,70,70,70,20210330
Amazon VPC,1,70,70,70,20210401
Amazon VPC,1,70,70,70,20210405
Amazon VPC,1,70,70,70,20210410
Amazon VPC,1,70,70,70,20210415
Amazon VPC,1,70,70,70,20210503
Amazon VPC,1,70,70,70,20210504
Amazon VPC,1,70,70,70,20210505
Amazon VPC,1,70,70,70,20210506
Amazon VPC,1,70,70,70,20210507
Amazon VPC,1,70,70,70,20210508
Amazon VPC,1,70,70,70,20210509
Amazon VPC,1,70,70,70,20210510
Amazon VPC,1,70,70,70,20210511
Amazon VPC,1,70,70,70,20210512
Amazon VPC,1,70,70,70,20210513
Amazon VPC,1,70,70,70,20210514
Amazon VPC,1,70,70,70,20210515
Amazon VPC,1,70,70,70,20210516
Amazon VPC,1,70,70,70,20210517
Amazon VPC,1,70,70,70,20210518
Amazon VPC,1,70,70,70,20210519
Amazon VPC,1,70,70,70,20210520
Amazon VPC,1,70,70,70,20210521
Amazon VPC,1,70,70,70,20210522
Amazon VPC,1,70,70,70,20210523
Amazon VPC,1,70,70,70,20210524
Amazon VPC,1,70,70,70,20210525
Amazon VPC,1,70,70,70,20210526
Amazon VPC,1,70,70,70,20210527
Amazon VPC,1,70,70,70,20210528
Amazon VPC,1,70,70,70,20210529
