skill,count,avg_price,max_price,min_price,created_at
Microsoft Azure,141,67,90,50,20201121
Microsoft Azure,141,67,90,50,20201122
Microsoft Azure,141,67,90,50,20201123
Microsoft Azure,141,67,90,50,20201124
Microsoft Azure,141,67,90,50,20201125
Microsoft Azure,143,67,90,50,20201126
Microsoft Azure,142,67,90,50,20201127
Microsoft Azure,142,67,90,50,20201128
Microsoft Azure,145,67,90,50,20201204
Microsoft Azure,148,67,90,50,20201205
Microsoft Azure,148,67,90,50,20201206
Microsoft Azure,148,67,90,50,20201207
Microsoft Azure,150,67,90,50,20201208
Microsoft Azure,152,67,90,50,20201209
Microsoft Azure,153,67,90,50,20201210
Microsoft Azure,153,67,90,50,20201211
Microsoft Azure,153,67,90,50,20201212
Microsoft Azure,154,67,90,50,20201215
Microsoft Azure,156,67,90,50,20201220
Microsoft Azure,162,67,90,50,20201225
Microsoft Azure,163,67,90,50,20201230
Microsoft Azure,163,67,90,50,20210101
Microsoft Azure,163,67,90,50,20210105
Microsoft Azure,166,67,90,50,20210110
Microsoft Azure,170,67,90,50,20210115
Microsoft Azure,174,67,90,50,20210120
Microsoft Azure,175,67,90,50,20210125
Microsoft Azure,190,68,115,50,20210209
Microsoft Azure,190,68,115,50,20210210
Microsoft Azure,190,68,115,50,20210215
Microsoft Azure,194,68,115,50,20210220
Microsoft Azure,196,68,115,50,20210225
Microsoft Azure,196,68,115,50,20210301
Microsoft Azure,201,68,115,50,20210305
Microsoft Azure,207,68,115,50,20210310
Microsoft Azure,211,68,115,50,20210315
Microsoft Azure,216,68,115,50,20210320
Microsoft Azure,216,68,115,50,20210325
Microsoft Azure,218,68,115,50,20210330
Microsoft Azure,303,68,115,50,20210401
Microsoft Azure,304,68,115,50,20210405
Microsoft Azure,314,69,115,50,20210410
Microsoft Azure,316,69,115,50,20210415
Microsoft Azure,324,69,115,50,20210503
Microsoft Azure,324,69,115,50,20210504
Microsoft Azure,324,69,115,50,20210505
Microsoft Azure,324,69,115,50,20210506
Microsoft Azure,324,69,115,50,20210507
Microsoft Azure,325,69,115,50,20210508
Microsoft Azure,325,69,115,50,20210509
Microsoft Azure,325,69,115,50,20210510
Microsoft Azure,326,69,115,50,20210511
Microsoft Azure,330,69,115,50,20210512
Microsoft Azure,330,69,115,50,20210513
Microsoft Azure,332,69,115,50,20210514
Microsoft Azure,332,69,115,50,20210515
Microsoft Azure,332,69,115,50,20210516
Microsoft Azure,332,69,115,50,20210517
Microsoft Azure,332,69,115,50,20210518
Microsoft Azure,333,69,115,50,20210519
Microsoft Azure,333,69,115,50,20210520
Microsoft Azure,334,69,115,50,20210521
Microsoft Azure,336,69,115,50,20210522
Microsoft Azure,336,69,115,50,20210523
Microsoft Azure,336,69,115,50,20210524
Microsoft Azure,337,69,115,50,20210525
Microsoft Azure,337,69,115,50,20210526
Microsoft Azure,339,69,115,50,20210527
Microsoft Azure,340,69,115,50,20210528
Microsoft Azure,342,69,115,50,20210529
Microsoft Azure,342,69,115,50,20210530
Microsoft Azure,342,69,115,50,20210531
Microsoft Azure,344,69,115,50,20210602
Microsoft Azure,344,69,115,50,20210603
Microsoft Azure,344,69,115,50,20210604
Microsoft Azure,344,69,115,50,20210605
Microsoft Azure,344,69,115,50,20210606
Microsoft Azure,344,69,115,50,20210607
Microsoft Azure,347,69,115,50,20210608
Microsoft Azure,349,69,115,50,20210609
Microsoft Azure,351,69,115,50,20210610
Microsoft Azure,351,69,115,50,20210611
Microsoft Azure,353,69,115,50,20210613
Microsoft Azure,353,69,115,50,20210614
Microsoft Azure,353,69,115,50,20210615
Microsoft Azure,353,69,115,50,20210616
Microsoft Azure,354,69,115,50,20210617
Microsoft Azure,354,69,115,50,20210618
Microsoft Azure,354,69,115,50,20210619
Microsoft Azure,354,69,115,50,20210620
Microsoft Azure,354,69,115,50,20210621
Microsoft Azure,354,69,115,50,20210622
Microsoft Azure,356,70,115,50,20210623
Microsoft Azure,358,70,115,50,20210624
Microsoft Azure,359,70,115,50,20210625
Microsoft Azure,359,70,115,50,20210626
Microsoft Azure,359,70,115,50,20210627
Microsoft Azure,359,70,115,50,20210628
Microsoft Azure,359,70,115,50,20210629
Microsoft Azure,359,70,115,50,20210630
Microsoft Azure,359,70,115,50,20210702
Microsoft Azure,360,70,115,50,20210703
Microsoft Azure,360,70,115,50,20210704
Microsoft Azure,360,70,115,50,20210705
Microsoft Azure,363,70,115,50,20210706
Microsoft Azure,365,70,115,50,20210707
Microsoft Azure,365,70,115,50,20210708
Microsoft Azure,365,70,115,50,20210709
Microsoft Azure,365,70,115,50,20210710
Microsoft Azure,365,70,115,50,20210711
Microsoft Azure,365,70,115,50,20210713
Microsoft Azure,364,70,115,50,20210714
Microsoft Azure,364,70,115,50,20210715
Microsoft Azure,359,70,115,50,20210716
Microsoft Azure,359,70,115,50,20210717
Microsoft Azure,359,70,115,50,20210718
Microsoft Azure,359,70,115,50,20210719
Microsoft Azure,359,70,115,50,20210720
Microsoft Azure,359,70,115,50,20210721
Microsoft Azure,358,70,115,50,20210722
Microsoft Azure,358,70,115,50,20210723
Microsoft Azure,358,70,115,50,20210724
Microsoft Azure,358,70,115,50,20210725
Microsoft Azure,358,70,115,50,20210726
Microsoft Azure,358,70,115,50,20210727
Microsoft Azure,358,70,115,50,20210728
Microsoft Azure,358,70,115,50,20210729
Microsoft Azure,358,70,115,50,20210730
Microsoft Azure,357,70,115,50,20210731
Microsoft Azure,357,70,115,50,20210802
Microsoft Azure,357,70,115,50,20210803
Microsoft Azure,356,70,115,50,20210804
Microsoft Azure,355,70,115,50,20210805
Microsoft Azure,357,70,115,50,20210806
Microsoft Azure,357,70,115,50,20210807
