skill,count,avg_price,max_price,min_price,created_at
Office 365,9,56,65,40,20201121
Office 365,9,56,65,40,20201122
Office 365,9,56,65,40,20201123
Office 365,9,56,65,40,20201124
Office 365,10,58,75,40,20201125
Office 365,10,58,75,40,20201126
Office 365,10,58,75,40,20201127
Office 365,12,59,75,40,20201128
Office 365,14,59,75,40,20201204
Office 365,15,59,75,40,20201205
Office 365,15,59,75,40,20201206
Office 365,15,59,75,40,20201207
Office 365,16,60,75,40,20201208
Office 365,16,60,75,40,20201209
Office 365,16,60,75,40,20201210
Office 365,16,60,75,40,20201211
Office 365,17,60,75,40,20201212
Office 365,17,60,75,40,20201215
Office 365,19,60,75,40,20201220
Office 365,20,60,75,40,20201225
Office 365,20,60,75,40,20201230
Office 365,20,60,75,40,20210101
Office 365,20,60,75,40,20210105
Office 365,20,60,75,40,20210110
Office 365,24,58,75,35,20210115
Office 365,25,58,75,35,20210120
Office 365,25,58,75,35,20210125
Office 365,27,58,75,35,20210209
Office 365,28,58,75,35,20210210
Office 365,28,58,75,35,20210215
Office 365,30,57,75,35,20210220
Office 365,32,58,85,35,20210225
Office 365,34,58,85,35,20210301
Office 365,35,58,85,35,20210305
Office 365,39,59,85,35,20210310
Office 365,40,59,85,35,20210315
Office 365,41,59,85,35,20210320
Office 365,41,59,85,35,20210325
Office 365,42,60,85,35,20210330
Office 365,171,62,125,35,20210401
Office 365,173,62,125,35,20210405
Office 365,174,62,125,35,20210410
Office 365,174,62,125,35,20210415
Office 365,175,62,125,35,20210503
Office 365,175,62,125,35,20210504
Office 365,175,62,125,35,20210505
Office 365,175,62,125,35,20210506
Office 365,175,62,125,35,20210507
Office 365,175,62,125,35,20210508
Office 365,175,62,125,35,20210509
Office 365,175,62,125,35,20210510
Office 365,175,62,125,35,20210511
Office 365,177,62,125,35,20210512
Office 365,177,62,125,35,20210513
Office 365,178,62,125,35,20210514
Office 365,180,62,125,35,20210515
Office 365,180,62,125,35,20210516
Office 365,180,62,125,35,20210517
Office 365,180,62,125,35,20210518
Office 365,180,62,125,35,20210519
Office 365,180,62,125,35,20210520
Office 365,180,62,125,35,20210521
Office 365,181,62,125,35,20210522
Office 365,181,62,125,35,20210523
Office 365,181,62,125,35,20210524
Office 365,181,62,125,35,20210525
Office 365,181,62,125,35,20210526
Office 365,181,62,125,35,20210527
Office 365,181,62,125,35,20210528
Office 365,182,62,125,35,20210529
Office 365,182,62,125,35,20210530
Office 365,182,62,125,35,20210531
Office 365,181,62,125,35,20210602
Office 365,182,62,125,35,20210603
Office 365,182,62,125,35,20210604
Office 365,182,62,125,35,20210605
Office 365,182,62,125,35,20210606
Office 365,182,62,125,35,20210607
Office 365,182,62,125,35,20210608
Office 365,182,62,125,35,20210609
Office 365,182,62,125,35,20210610
Office 365,182,62,125,35,20210611
Office 365,182,62,125,35,20210613
Office 365,182,62,125,35,20210614
Office 365,182,62,125,35,20210615
Office 365,182,62,125,35,20210616
Office 365,182,62,125,35,20210617
Office 365,182,62,125,35,20210618
Office 365,182,62,125,35,20210619
Office 365,182,62,125,35,20210620
Office 365,182,62,125,35,20210621
Office 365,182,62,125,35,20210622
Office 365,182,62,125,35,20210623
Office 365,182,62,125,35,20210624
Office 365,182,62,125,35,20210625
Office 365,182,62,125,35,20210626
Office 365,182,62,125,35,20210627
Office 365,182,62,125,35,20210628
Office 365,182,62,125,35,20210629
Office 365,182,62,125,35,20210630
Office 365,182,62,125,35,20210702
Office 365,182,62,125,35,20210703
Office 365,182,62,125,35,20210704
Office 365,182,62,125,35,20210705
Office 365,182,62,125,35,20210706
Office 365,184,62,125,35,20210707
Office 365,184,62,125,35,20210708
Office 365,184,62,125,35,20210709
Office 365,184,62,125,35,20210710
Office 365,184,62,125,35,20210711
Office 365,184,62,125,35,20210713
Office 365,184,62,125,35,20210714
Office 365,183,62,125,35,20210715
Office 365,184,62,125,35,20210716
Office 365,184,62,125,35,20210717
Office 365,184,62,125,35,20210718
Office 365,184,62,125,35,20210719
Office 365,184,62,125,35,20210720
Office 365,184,62,125,35,20210721
Office 365,184,62,125,35,20210722
Office 365,184,62,125,35,20210723
Office 365,184,62,125,35,20210724
Office 365,184,62,125,35,20210725
Office 365,184,62,125,35,20210726
Office 365,184,62,125,35,20210727
Office 365,183,62,125,35,20210728
Office 365,183,62,125,35,20210729
Office 365,183,62,125,35,20210730
Office 365,183,62,125,35,20210731
Office 365,183,62,125,35,20210802
Office 365,183,62,125,35,20210803
Office 365,183,62,125,35,20210804
Office 365,180,62,125,35,20210805
Office 365,180,62,125,35,20210806
Office 365,180,62,125,35,20210807
Office 365,180,62,125,35,20210808
Office 365,180,62,125,35,20210809
Office 365,180,62,125,35,20210810
Office 365,179,62,125,35,20210812
Office 365,179,62,125,35,20210814
Office 365,179,62,125,35,20210815
Office 365,179,62,125,35,20210816
Office 365,179,62,125,35,20210817
Office 365,179,62,125,35,20210818
Office 365,180,62,125,35,20210819
Office 365,181,62,125,35,20210820
Office 365,181,62,125,35,20210821
Office 365,181,62,125,35,20210822
Office 365,181,62,125,35,20210823
Office 365,180,62,125,35,20210824
Office 365,180,62,125,35,20210825
Office 365,180,62,125,35,20210826
Office 365,181,62,125,35,20210827
Office 365,181,62,125,35,20210828
Office 365,181,62,125,35,20210829
Office 365,181,62,125,35,20210830
Office 365,182,62,125,35,20210831
Office 365,182,62,125,35,20210902
Office 365,180,62,125,35,20210903
Office 365,181,62,125,35,20210904
Office 365,181,62,125,35,20210906
Office 365,181,62,125,35,20210907
Office 365,180,62,125,35,20210908
Office 365,180,62,125,35,20210914
