skill,count,avg_price,max_price,min_price,created_at
OpenShift,5,62,65,60,20201121
OpenShift,5,62,65,60,20201122
OpenShift,5,62,65,60,20201123
OpenShift,5,62,65,60,20201124
OpenShift,5,62,65,60,20201125
OpenShift,5,62,65,60,20201126
OpenShift,5,62,65,60,20201127
OpenShift,5,62,65,60,20201128
OpenShift,5,62,65,60,20201204
OpenShift,5,62,65,60,20201205
OpenShift,5,62,65,60,20201206
OpenShift,5,62,65,60,20201207
OpenShift,5,62,65,60,20201208
OpenShift,5,62,65,60,20201209
OpenShift,5,62,65,60,20201210
OpenShift,5,62,65,60,20201211
OpenShift,5,62,65,60,20201212
OpenShift,5,62,65,60,20201215
OpenShift,5,62,65,60,20201220
OpenShift,5,62,65,60,20201225
OpenShift,5,62,65,60,20201230
OpenShift,5,62,65,60,20210101
OpenShift,5,62,65,60,20210105
OpenShift,5,62,65,60,20210110
OpenShift,5,62,65,60,20210115
OpenShift,5,62,65,60,20210120
OpenShift,5,62,65,60,20210125
OpenShift,6,65,75,60,20210209
OpenShift,6,65,75,60,20210210
OpenShift,6,65,75,60,20210215
OpenShift,6,65,75,60,20210220
OpenShift,6,65,75,60,20210225
OpenShift,7,65,75,60,20210301
OpenShift,7,65,75,60,20210305
OpenShift,7,65,75,60,20210310
OpenShift,7,65,75,60,20210315
OpenShift,7,65,75,60,20210320
OpenShift,7,65,75,60,20210325
OpenShift,7,65,75,60,20210330
OpenShift,11,63,75,55,20210401
OpenShift,11,63,75,55,20210405
OpenShift,11,63,75,55,20210410
OpenShift,11,63,75,55,20210415
OpenShift,12,63,75,55,20210503
OpenShift,12,63,75,55,20210504
OpenShift,12,63,75,55,20210505
OpenShift,12,63,75,55,20210506
OpenShift,12,63,75,55,20210507
OpenShift,12,63,75,55,20210508
OpenShift,12,63,75,55,20210509
OpenShift,12,63,75,55,20210510
OpenShift,12,63,75,55,20210511
OpenShift,12,63,75,55,20210512
OpenShift,12,63,75,55,20210513
OpenShift,12,63,75,55,20210514
OpenShift,13,64,75,55,20210515
OpenShift,13,64,75,55,20210516
OpenShift,13,64,75,55,20210517
OpenShift,13,64,75,55,20210518
OpenShift,13,64,75,55,20210519
OpenShift,13,64,75,55,20210520
OpenShift,14,64,75,55,20210521
OpenShift,15,65,75,55,20210522
OpenShift,15,65,75,55,20210523
OpenShift,15,65,75,55,20210524
OpenShift,15,65,75,55,20210525
OpenShift,15,65,75,55,20210526
OpenShift,15,65,75,55,20210527
OpenShift,15,65,75,55,20210528
OpenShift,15,65,75,55,20210529
OpenShift,15,65,75,55,20210530
OpenShift,15,65,75,55,20210531
OpenShift,15,65,75,55,20210602
OpenShift,15,65,75,55,20210603
OpenShift,15,65,75,55,20210604
OpenShift,16,65,75,55,20210605
OpenShift,16,65,75,55,20210606
OpenShift,16,65,75,55,20210607
