skill,count,avg_price,max_price,min_price,created_at
OpenStack,21,64,80,45,20201121
OpenStack,21,64,80,45,20201122
OpenStack,21,64,80,45,20201123
OpenStack,21,64,80,45,20201124
OpenStack,21,64,80,45,20201125
OpenStack,21,64,80,45,20201126
OpenStack,21,64,80,45,20201127
OpenStack,21,64,80,45,20201128
OpenStack,21,64,80,45,20201204
OpenStack,21,64,80,45,20201205
OpenStack,21,64,80,45,20201206
OpenStack,21,64,80,45,20201207
OpenStack,21,64,80,45,20201208
OpenStack,21,64,80,45,20201209
OpenStack,21,64,80,45,20201210
OpenStack,22,65,85,45,20201211
OpenStack,22,65,85,45,20201212
OpenStack,22,65,85,45,20201215
OpenStack,22,65,85,45,20201220
OpenStack,22,65,85,45,20201225
OpenStack,22,65,85,45,20201230
OpenStack,22,65,85,45,20210101
OpenStack,22,65,85,45,20210105
OpenStack,22,65,85,45,20210110
OpenStack,22,65,85,45,20210115
OpenStack,22,65,85,45,20210120
OpenStack,23,64,85,45,20210125
OpenStack,23,64,85,45,20210209
OpenStack,23,64,85,45,20210210
OpenStack,23,64,85,45,20210215
OpenStack,23,64,85,45,20210220
OpenStack,23,64,85,45,20210225
