created_at,skill,count,avg_price,max_price,min_price
20201128,IMS,3,58,64,55
20201128,DB2,81,64,95,35
20201128,Oracle,990,66,115,25
20201128,Bigtable,3,86,95,80
20201128,SQLite,21,72,90,55
20201128,Symfoware Server,4,60,65,55
20201128,Redis,300,78,105,39
20201128,PostgreSQL,496,71,135,35
20201128,Hbase,5,68,75,60
20201128,MySQL,1481,75,125,35
20201128,Riak,5,63,100,45
20201128,Access,90,60,145,40
20201128,Kyoto Tycoon,1,75,75,75
20201128,SQL Server,391,65,95,35
20201128,Cassandra,14,62,80,45
20201128,Sybase,6,75,85,65
