skill,count,avg_price,max_price,min_price,created_at
Access,88,60,145,40,20201121
Access,88,60,145,40,20201122
Access,88,60,145,40,20201123
Access,88,60,145,40,20201124
Access,89,60,145,40,20201125
Access,89,60,145,40,20201126
Access,90,60,145,40,20201127
Access,90,60,145,40,20201128
Access,90,60,145,40,20201204
Access,90,60,145,40,20201205
Access,90,60,145,40,20201206
Access,90,60,145,40,20201207
Access,90,60,145,40,20201208
Access,90,60,145,40,20201209
Access,90,60,145,40,20201210
Access,90,60,145,40,20201211
Access,90,60,145,40,20201212
Access,90,60,145,40,20201215
Access,91,60,145,40,20201220
Access,91,60,145,40,20201225
Access,91,60,145,40,20201230
Access,91,60,145,40,20210101
Access,91,60,145,40,20210105
Access,93,59,145,40,20210110
Access,93,59,145,40,20210115
Access,93,59,145,40,20210120
Access,96,60,145,40,20210125
Access,99,60,145,40,20210209
Access,99,60,145,40,20210210
Access,99,60,145,40,20210215
Access,99,60,145,40,20210220
Access,100,60,145,40,20210225
