skill,count,avg_price,max_price,min_price,created_at
DynamoDB,69,81,95,60,20201121
DynamoDB,69,81,95,60,20201122
DynamoDB,69,81,95,60,20201123
DynamoDB,69,81,95,60,20201124
DynamoDB,70,81,95,60,20201125
DynamoDB,70,81,95,60,20201126
DynamoDB,70,81,95,60,20201127
DynamoDB,70,81,95,60,20201128
DynamoDB,70,81,95,60,20201204
DynamoDB,71,81,95,60,20201205
DynamoDB,71,81,95,60,20201206
DynamoDB,71,81,95,60,20201207
DynamoDB,71,81,95,60,20201208
DynamoDB,72,81,95,60,20201209
DynamoDB,72,81,95,60,20201210
DynamoDB,73,81,95,60,20201211
DynamoDB,73,81,95,60,20201212
DynamoDB,74,81,95,60,20201215
DynamoDB,77,81,95,60,20201220
DynamoDB,77,81,95,60,20201225
DynamoDB,77,81,95,60,20201230
DynamoDB,77,81,95,60,20210101
DynamoDB,77,81,95,60,20210105
DynamoDB,78,81,95,60,20210110
DynamoDB,79,81,95,50,20210115
DynamoDB,81,81,95,50,20210120
DynamoDB,81,81,95,50,20210125
DynamoDB,83,81,95,50,20210209
DynamoDB,84,81,95,50,20210210
DynamoDB,85,81,95,50,20210215
DynamoDB,86,80,95,50,20210220
DynamoDB,86,80,95,50,20210225
DynamoDB,86,80,95,50,20210301
DynamoDB,86,80,95,50,20210305
DynamoDB,86,80,95,50,20210310
DynamoDB,86,80,95,50,20210315
DynamoDB,88,81,95,50,20210320
DynamoDB,88,81,95,50,20210325
DynamoDB,89,80,95,50,20210330
DynamoDB,173,78,95,45,20210401
DynamoDB,173,78,95,45,20210405
DynamoDB,175,78,95,45,20210410
DynamoDB,174,78,95,45,20210415
DynamoDB,175,78,95,45,20210503
DynamoDB,175,78,95,45,20210504
DynamoDB,175,78,95,45,20210505
DynamoDB,175,78,95,45,20210506
DynamoDB,175,78,95,45,20210507
DynamoDB,175,78,95,45,20210508
DynamoDB,175,78,95,45,20210509
DynamoDB,175,78,95,45,20210510
DynamoDB,175,78,95,45,20210511
DynamoDB,175,78,95,45,20210512
DynamoDB,176,78,95,45,20210513
DynamoDB,176,78,95,45,20210514
DynamoDB,176,78,95,45,20210515
DynamoDB,176,78,95,45,20210516
DynamoDB,176,78,95,45,20210517
DynamoDB,176,78,95,45,20210518
DynamoDB,176,78,95,45,20210519
DynamoDB,176,78,115,45,20210520
DynamoDB,176,78,115,45,20210521
DynamoDB,176,78,115,45,20210522
DynamoDB,176,78,115,45,20210523
DynamoDB,176,78,115,45,20210524
DynamoDB,176,78,115,45,20210525
DynamoDB,177,78,115,45,20210526
DynamoDB,177,78,115,45,20210527
DynamoDB,178,78,115,45,20210528
DynamoDB,178,78,115,45,20210529
DynamoDB,178,78,115,45,20210530
DynamoDB,178,78,115,45,20210531
DynamoDB,179,78,115,45,20210602
DynamoDB,179,78,115,45,20210603
DynamoDB,179,78,115,45,20210604
DynamoDB,179,78,115,45,20210605
DynamoDB,179,78,115,45,20210606
DynamoDB,179,78,115,45,20210607
DynamoDB,179,78,115,45,20210608
DynamoDB,180,78,115,45,20210609
DynamoDB,180,78,115,45,20210610
DynamoDB,180,78,115,45,20210611
DynamoDB,180,78,115,45,20210613
DynamoDB,180,78,115,45,20210614
DynamoDB,181,78,115,45,20210615
DynamoDB,181,78,115,45,20210616
DynamoDB,181,78,115,45,20210617
DynamoDB,181,78,115,45,20210618
DynamoDB,181,78,115,45,20210619
DynamoDB,181,78,115,45,20210620
DynamoDB,181,78,115,45,20210621
DynamoDB,181,78,115,45,20210622
DynamoDB,183,78,115,45,20210623
DynamoDB,183,78,115,45,20210624
DynamoDB,183,78,115,45,20210625
DynamoDB,183,78,115,45,20210626
DynamoDB,183,78,115,45,20210627
DynamoDB,183,78,115,45,20210628
DynamoDB,183,78,115,45,20210629
DynamoDB,183,78,115,45,20210630
DynamoDB,183,78,115,45,20210702
DynamoDB,183,78,115,45,20210703
DynamoDB,183,78,115,45,20210704
DynamoDB,183,78,115,45,20210705
DynamoDB,184,78,115,45,20210706
DynamoDB,184,78,115,45,20210707
DynamoDB,184,78,115,45,20210708
