skill,count,avg_price,max_price,min_price,created_at
HiRDB,7,63,70,57,20201121
HiRDB,7,63,70,57,20201122
HiRDB,7,63,70,57,20201123
HiRDB,7,63,70,57,20201124
HiRDB,7,63,70,57,20201125
HiRDB,7,63,70,57,20201126
HiRDB,7,63,70,57,20201127
HiRDB,7,63,70,57,20201128
HiRDB,7,63,70,57,20201204
HiRDB,7,63,70,57,20201205
HiRDB,7,63,70,57,20201206
HiRDB,7,63,70,57,20201207
HiRDB,7,63,70,57,20201208
HiRDB,7,63,70,57,20201209
HiRDB,7,63,70,57,20201210
HiRDB,7,63,70,57,20201211
HiRDB,7,63,70,57,20201212
HiRDB,7,63,70,57,20201215
HiRDB,7,63,70,57,20201220
HiRDB,7,63,70,57,20201225
HiRDB,7,63,70,57,20201230
HiRDB,7,63,70,57,20210101
HiRDB,7,63,70,57,20210105
HiRDB,7,63,70,57,20210110
HiRDB,7,63,70,57,20210115
HiRDB,7,63,70,57,20210120
HiRDB,7,63,70,57,20210125
HiRDB,7,63,70,57,20210209
HiRDB,7,63,70,57,20210210
HiRDB,7,63,70,57,20210215
HiRDB,7,63,70,57,20210220
HiRDB,7,63,70,57,20210225
HiRDB,7,63,70,57,20210301
HiRDB,7,63,70,57,20210305
HiRDB,7,63,70,57,20210310
HiRDB,7,63,70,57,20210315
HiRDB,7,63,70,57,20210320
HiRDB,7,63,70,57,20210325
HiRDB,7,63,70,57,20210330
HiRDB,13,61,80,40,20210401
HiRDB,13,61,80,40,20210405
HiRDB,13,61,80,40,20210410
HiRDB,13,61,80,40,20210415
HiRDB,14,60,80,40,20210503
HiRDB,14,60,80,40,20210504
HiRDB,14,60,80,40,20210505
HiRDB,14,60,80,40,20210506
HiRDB,14,60,80,40,20210507
HiRDB,14,60,80,40,20210508
HiRDB,14,60,80,40,20210509
HiRDB,14,60,80,40,20210510
HiRDB,14,60,80,40,20210511
HiRDB,14,60,80,40,20210512
HiRDB,14,60,80,40,20210513
HiRDB,14,60,80,40,20210514
HiRDB,14,60,80,40,20210515
HiRDB,14,60,80,40,20210516
HiRDB,14,60,80,40,20210517
HiRDB,14,60,80,40,20210518
HiRDB,14,60,80,40,20210519
HiRDB,14,60,80,40,20210520
HiRDB,14,60,80,40,20210521
HiRDB,14,60,80,40,20210522
HiRDB,14,60,80,40,20210523
HiRDB,14,60,80,40,20210524
HiRDB,14,60,80,40,20210525
HiRDB,14,60,80,40,20210526
