skill,count,avg_price,max_price,min_price,created_at
MongoDB,134,77,105,39,20201121
MongoDB,134,77,105,39,20201122
MongoDB,134,77,105,39,20201123
MongoDB,134,77,105,39,20201124
MongoDB,134,77,105,39,20201125
MongoDB,134,77,105,39,20201126
MongoDB,134,77,105,39,20201127
MongoDB,134,77,105,39,20201128
MongoDB,134,77,105,39,20201204
MongoDB,135,77,105,39,20201205
MongoDB,135,77,105,39,20201206
MongoDB,135,77,105,39,20201207
MongoDB,135,77,105,39,20201208
MongoDB,135,77,105,39,20201209
MongoDB,135,77,105,39,20201210
MongoDB,135,77,105,39,20201211
MongoDB,135,77,105,39,20201212
MongoDB,135,77,105,39,20201215
