skill,count,avg_price,max_price,min_price,created_at
MySQL,1465,75,125,35,20201121
MySQL,1465,75,125,35,20201122
MySQL,1465,75,125,35,20201123
MySQL,1465,75,125,35,20201124
MySQL,1469,75,125,35,20201125
MySQL,1473,75,125,35,20201126
MySQL,1475,75,125,35,20201127
MySQL,1481,75,125,35,20201128
MySQL,1498,75,125,35,20201204
MySQL,1509,75,125,35,20201205
MySQL,1509,75,125,35,20201206
MySQL,1509,75,125,35,20201207
MySQL,1513,75,125,35,20201208
MySQL,1517,75,125,35,20201209
MySQL,1523,75,125,35,20201210
MySQL,1527,75,125,35,20201211
MySQL,1530,75,125,35,20201212
MySQL,1536,75,125,35,20201215
MySQL,1559,75,125,35,20201220
MySQL,1574,75,125,35,20201225
MySQL,1575,75,125,35,20201230
MySQL,1575,75,125,35,20210101
MySQL,1579,75,125,35,20210105
MySQL,1597,75,125,35,20210110
MySQL,1602,75,125,35,20210115
MySQL,1614,75,125,35,20210120
MySQL,1623,75,125,35,20210125
MySQL,1669,75,125,35,20210209
MySQL,1670,75,125,35,20210210
MySQL,1675,75,125,35,20210215
MySQL,1700,75,125,35,20210220
MySQL,1713,75,125,35,20210225
MySQL,1721,74,125,35,20210301
MySQL,1743,74,125,30,20210305
MySQL,1755,74,125,30,20210310
MySQL,1763,74,125,35,20210315
MySQL,1780,74,125,35,20210320
MySQL,1793,74,125,35,20210325
MySQL,1799,74,125,35,20210330
MySQL,3525,75,125,20,20210401
MySQL,3529,75,125,20,20210405
MySQL,3544,75,125,20,20210410
MySQL,3549,75,125,20,20210415
MySQL,3587,75,125,20,20210503
MySQL,3587,75,125,20,20210504
MySQL,3587,75,125,20,20210505
MySQL,3587,75,125,20,20210506
MySQL,3587,75,125,20,20210507
MySQL,3589,75,125,20,20210508
MySQL,3589,75,125,20,20210509
MySQL,3589,75,125,20,20210510
MySQL,3591,75,125,20,20210511
MySQL,3591,75,125,20,20210512
MySQL,3594,75,125,20,20210513
MySQL,3601,75,125,20,20210514
MySQL,3604,75,125,20,20210515
MySQL,3604,75,125,20,20210516
MySQL,3604,75,125,20,20210517
MySQL,3605,75,125,20,20210518
MySQL,3606,75,125,20,20210519
MySQL,3608,75,125,20,20210520
MySQL,3610,75,125,20,20210521
MySQL,3612,75,125,20,20210522
MySQL,3612,75,125,20,20210523
MySQL,3612,75,125,20,20210524
MySQL,3617,75,125,20,20210525
MySQL,3625,75,125,20,20210526
