skill,count,avg_price,max_price,min_price,created_at
PostgreSQL,487,71,135,35,20201121
PostgreSQL,487,71,135,35,20201122
PostgreSQL,487,71,135,35,20201123
PostgreSQL,487,71,135,35,20201124
PostgreSQL,489,71,135,35,20201125
PostgreSQL,490,71,135,35,20201126
PostgreSQL,494,71,135,35,20201127
PostgreSQL,496,71,135,35,20201128
PostgreSQL,502,71,135,35,20201204
PostgreSQL,503,71,135,35,20201205
PostgreSQL,503,71,135,35,20201206
PostgreSQL,503,71,135,35,20201207
PostgreSQL,505,71,135,35,20201208
PostgreSQL,505,71,135,35,20201209
PostgreSQL,509,71,135,35,20201210
PostgreSQL,514,71,135,35,20201211
PostgreSQL,516,71,135,35,20201212
PostgreSQL,516,71,135,35,20201215
PostgreSQL,531,70,135,35,20201220
PostgreSQL,537,71,135,35,20201225
PostgreSQL,538,70,135,35,20201230
PostgreSQL,538,70,135,35,20210101
PostgreSQL,541,70,135,35,20210105
PostgreSQL,549,70,135,35,20210110
PostgreSQL,553,70,135,35,20210115
PostgreSQL,562,70,135,35,20210120
PostgreSQL,571,70,135,35,20210125
PostgreSQL,591,70,135,15,20210209
PostgreSQL,593,70,135,15,20210210
PostgreSQL,594,70,135,15,20210215
PostgreSQL,601,70,135,15,20210220
PostgreSQL,604,70,135,15,20210225
PostgreSQL,610,70,135,15,20210301
PostgreSQL,613,70,135,15,20210305
PostgreSQL,620,70,135,15,20210310
PostgreSQL,626,70,135,15,20210315
PostgreSQL,637,70,135,15,20210320
PostgreSQL,644,70,135,15,20210325
PostgreSQL,653,70,135,15,20210330
PostgreSQL,1011,70,135,15,20210401
PostgreSQL,1012,70,135,15,20210405
PostgreSQL,1017,70,135,15,20210410
PostgreSQL,1020,70,135,15,20210415
PostgreSQL,1034,70,135,15,20210503
PostgreSQL,1034,70,135,15,20210504
PostgreSQL,1034,70,135,15,20210505
PostgreSQL,1034,70,135,15,20210506
PostgreSQL,1034,70,135,15,20210507
PostgreSQL,1036,70,135,15,20210508
PostgreSQL,1036,70,135,15,20210509
PostgreSQL,1036,70,135,15,20210510
PostgreSQL,1037,70,135,15,20210511
PostgreSQL,1038,70,135,15,20210512
PostgreSQL,1041,70,135,15,20210513
PostgreSQL,1043,70,135,15,20210514
PostgreSQL,1045,70,135,15,20210515
PostgreSQL,1045,70,135,15,20210516
PostgreSQL,1045,70,135,15,20210517
PostgreSQL,1048,70,135,15,20210518
PostgreSQL,1052,70,135,15,20210519
PostgreSQL,1055,70,135,15,20210520
PostgreSQL,1059,70,135,15,20210521
PostgreSQL,1061,70,135,15,20210522
PostgreSQL,1061,70,135,15,20210523
PostgreSQL,1061,70,135,15,20210524
PostgreSQL,1061,70,135,15,20210525
PostgreSQL,1062,70,135,15,20210526
PostgreSQL,1064,70,135,15,20210527
PostgreSQL,1065,70,135,15,20210528
PostgreSQL,1066,70,135,15,20210529
PostgreSQL,1066,70,135,15,20210530
PostgreSQL,1066,70,135,15,20210531
PostgreSQL,1068,70,135,15,20210602
PostgreSQL,1071,70,135,15,20210603
PostgreSQL,1073,70,135,15,20210604
PostgreSQL,1073,70,135,15,20210605
PostgreSQL,1073,70,135,15,20210606
PostgreSQL,1073,70,135,15,20210607
PostgreSQL,1075,70,135,15,20210608
PostgreSQL,1078,70,135,15,20210609
PostgreSQL,1079,70,135,15,20210610
PostgreSQL,1081,70,135,15,20210611
PostgreSQL,1085,70,135,15,20210613
PostgreSQL,1086,70,135,15,20210614
PostgreSQL,1091,70,135,15,20210615
PostgreSQL,1094,70,135,15,20210616
PostgreSQL,1095,70,135,15,20210617
PostgreSQL,1101,70,135,15,20210618
PostgreSQL,1103,70,135,15,20210619
PostgreSQL,1103,70,135,15,20210620
PostgreSQL,1103,70,135,15,20210621
PostgreSQL,1103,70,135,15,20210622
PostgreSQL,1110,70,135,15,20210623
PostgreSQL,1110,70,135,15,20210624
PostgreSQL,1112,70,135,15,20210625
PostgreSQL,1113,70,135,15,20210626
PostgreSQL,1113,70,135,15,20210627
PostgreSQL,1113,70,135,15,20210628
PostgreSQL,1115,70,135,15,20210629
PostgreSQL,1116,70,135,15,20210630
PostgreSQL,1121,70,135,15,20210702
PostgreSQL,1123,70,135,15,20210703
PostgreSQL,1123,70,135,15,20210704
PostgreSQL,1123,70,135,15,20210705
PostgreSQL,1123,70,135,15,20210706
PostgreSQL,1126,70,135,15,20210707
PostgreSQL,1130,70,135,15,20210708
PostgreSQL,1133,70,135,15,20210709
PostgreSQL,1135,70,135,15,20210710
PostgreSQL,1135,70,135,15,20210711
PostgreSQL,1137,70,135,15,20210713
PostgreSQL,1136,70,135,15,20210714
PostgreSQL,1137,70,135,15,20210715
PostgreSQL,1135,70,135,15,20210716
PostgreSQL,1130,70,135,15,20210717
