skill,count,avg_price,max_price,min_price,created_at
Riak,5,63,100,45,20201121
Riak,5,63,100,45,20201122
Riak,5,63,100,45,20201123
Riak,5,63,100,45,20201124
Riak,5,63,100,45,20201125
Riak,5,63,100,45,20201126
Riak,5,63,100,45,20201127
Riak,5,63,100,45,20201128
Riak,5,63,100,45,20201204
Riak,5,63,100,45,20201205
Riak,5,63,100,45,20201206
Riak,5,63,100,45,20201207
Riak,5,63,100,45,20201208
Riak,5,63,100,45,20201209
Riak,5,63,100,45,20201210
Riak,5,63,100,45,20201211
Riak,5,63,100,45,20201212
Riak,5,63,100,45,20201215
Riak,5,63,100,45,20201220
Riak,5,63,100,45,20201225
Riak,5,63,100,45,20201230
Riak,5,63,100,45,20210101
Riak,5,63,100,45,20210105
Riak,5,63,100,45,20210110
Riak,5,63,100,45,20210115
Riak,5,63,100,45,20210120
Riak,5,63,100,45,20210125
Riak,5,63,100,45,20210209
Riak,5,63,100,45,20210210
Riak,5,63,100,45,20210215
Riak,5,63,100,45,20210220
Riak,5,63,100,45,20210225
Riak,5,63,100,45,20210301
Riak,5,63,100,45,20210305
Riak,5,63,100,45,20210310
Riak,5,63,100,45,20210315
Riak,5,63,100,45,20210320
Riak,5,63,100,45,20210325
Riak,5,63,100,45,20210330
Riak,8,70,100,45,20210401
Riak,8,70,100,45,20210405
Riak,8,70,100,45,20210410
Riak,8,70,100,45,20210415
Riak,8,70,100,45,20210503
Riak,8,70,100,45,20210504
Riak,8,70,100,45,20210505
Riak,8,70,100,45,20210506
Riak,8,70,100,45,20210507
Riak,8,70,100,45,20210508
Riak,8,70,100,45,20210509
Riak,8,70,100,45,20210510
Riak,8,70,100,45,20210511
Riak,8,70,100,45,20210512
Riak,8,70,100,45,20210513
Riak,8,70,100,45,20210514
Riak,8,70,100,45,20210515
Riak,8,70,100,45,20210516
Riak,8,70,100,45,20210517
Riak,8,70,100,45,20210518
Riak,8,70,100,45,20210519
Riak,8,70,100,45,20210520
Riak,8,70,100,45,20210521
Riak,8,70,100,45,20210522
Riak,8,70,100,45,20210523
Riak,8,70,100,45,20210524
Riak,8,70,100,45,20210525
Riak,8,70,100,45,20210526
Riak,8,70,100,45,20210527
Riak,8,70,100,45,20210528
Riak,8,70,100,45,20210529
Riak,8,70,100,45,20210530
Riak,8,70,100,45,20210531
Riak,8,70,100,45,20210602
Riak,8,70,100,45,20210603
Riak,8,70,100,45,20210604
Riak,8,70,100,45,20210605
Riak,8,70,100,45,20210606
Riak,8,70,100,45,20210607
Riak,8,70,100,45,20210608
Riak,8,70,100,45,20210609
Riak,8,70,100,45,20210610
Riak,8,70,100,45,20210611
Riak,8,70,100,45,20210613
