skill,count,avg_price,max_price,min_price,created_at
SQL Server,375,65,95,35,20201121
SQL Server,375,65,95,35,20201122
SQL Server,375,65,95,35,20201123
SQL Server,375,65,95,35,20201124
SQL Server,377,65,95,35,20201125
SQL Server,383,65,95,35,20201126
SQL Server,386,65,95,35,20201127
SQL Server,391,65,95,35,20201128
SQL Server,396,65,95,35,20201204
SQL Server,399,65,95,35,20201205
SQL Server,399,65,95,35,20201206
SQL Server,399,65,95,35,20201207
SQL Server,402,65,95,35,20201208
SQL Server,404,65,95,35,20201209
SQL Server,406,65,95,35,20201210
SQL Server,406,65,95,35,20201211
SQL Server,407,65,95,35,20201212
SQL Server,407,65,95,35,20201215
SQL Server,417,65,95,35,20201220
SQL Server,420,65,95,35,20201225
SQL Server,424,65,95,35,20201230
SQL Server,424,65,95,35,20210101
SQL Server,425,65,95,35,20210105
SQL Server,434,65,95,35,20210110
SQL Server,436,65,95,35,20210115
SQL Server,439,65,95,35,20210120
SQL Server,442,65,95,35,20210125
SQL Server,450,65,95,35,20210209
SQL Server,452,65,95,35,20210210
SQL Server,455,65,95,35,20210215
SQL Server,466,64,95,35,20210220
SQL Server,466,64,95,35,20210225
SQL Server,469,64,95,35,20210301
SQL Server,475,64,95,35,20210305
