created_at,skill,count,avg_price,max_price,min_price
20201211,MyBatis,65,70,85,55
20201211,Liferay,1,70,70,70
20201211,Seasar2,34,70,95,49
20201211,Silex,4,76,80,75
20201211,PhoneGap,3,86,95,80
20201211,MVC,71,68,95,37
20201211,CodeIgniter,40,74,105,45
20201211,Sinatra,6,78,85,75
20201211,jQuery,382,70,95,30
20201211,SAStruts,18,70,95,57
20201211,Wicket,3,82,95,70
20201211,intra-mart,15,69,135,50
20201211,JSF,18,65,95,55
20201211,Catalyst,28,63,72,55
20201211,CakePHP,153,71,95,50
20201211,Spring,397,71,115,45
20201211,Backbone.js,78,76,115,39
20201211,Laravel,364,73,125,40
20201211,Django,98,82,115,55
20201211,Flask,28,83,125,65
20201211,Knockout.js,7,75,90,55
20201211,Spark,19,82,95,55
20201211,React,409,77,115,40
20201211,Rails,268,80,115,45
20201211,Node.js,274,77,125,45
20201211,iBATIS,14,69,95,55
20201211,AngularJS,165,74,105,47
20201211,Struts,139,67,95,45
20201211,Pyramid,12,77,105,65
20201211,FuelPHP,107,76,115,50
20201211,Symfony,58,74,95,50
20201211,Padrino,2,82,85,80
20201211,JUnit,83,72,125,50
20201211,Bottle,1,75,75,75
