skill,count,avg_price,max_price,min_price,created_at
AngularJS,152,74,105,47,20201121
AngularJS,152,74,105,47,20201122
AngularJS,152,74,105,47,20201123
AngularJS,152,74,105,47,20201124
AngularJS,152,74,105,47,20201125
AngularJS,153,74,105,47,20201126
AngularJS,155,74,105,47,20201127
AngularJS,157,74,105,47,20201128
AngularJS,160,74,105,47,20201204
AngularJS,162,74,105,47,20201205
AngularJS,162,74,105,47,20201206
AngularJS,162,74,105,47,20201207
AngularJS,163,74,105,47,20201208
AngularJS,163,74,105,47,20201209
AngularJS,165,74,105,47,20201210
AngularJS,165,74,105,47,20201211
AngularJS,166,73,105,47,20201212
AngularJS,166,73,105,47,20201215
AngularJS,170,73,105,45,20201220
AngularJS,171,73,105,45,20201225
AngularJS,170,73,105,45,20201230
AngularJS,170,73,105,45,20210101
AngularJS,170,73,105,45,20210105
AngularJS,170,73,105,45,20210110
AngularJS,175,73,105,45,20210115
AngularJS,179,73,105,45,20210120
AngularJS,182,73,105,45,20210125
AngularJS,191,73,105,45,20210209
AngularJS,191,73,105,45,20210210
AngularJS,195,73,105,45,20210215
AngularJS,199,73,105,45,20210220
AngularJS,201,73,105,45,20210225
AngularJS,201,73,105,45,20210301
AngularJS,203,73,105,45,20210305
AngularJS,210,72,105,45,20210310
AngularJS,210,73,105,45,20210315
AngularJS,210,73,105,45,20210320
AngularJS,212,72,105,45,20210325
AngularJS,213,72,105,45,20210330
AngularJS,390,74,105,43,20210401
AngularJS,390,74,105,43,20210405
AngularJS,390,74,105,43,20210410
AngularJS,393,74,105,43,20210415
AngularJS,398,74,105,43,20210503
AngularJS,398,74,105,43,20210504
AngularJS,398,74,105,43,20210505
AngularJS,398,74,105,43,20210506
AngularJS,398,74,105,43,20210507
AngularJS,398,74,105,43,20210508
AngularJS,398,74,105,43,20210509
AngularJS,398,74,105,43,20210510
AngularJS,398,74,105,43,20210511
AngularJS,398,74,105,43,20210512
AngularJS,398,74,105,43,20210513
AngularJS,398,74,105,43,20210514
AngularJS,400,74,105,43,20210515
AngularJS,400,74,105,43,20210516
AngularJS,400,74,105,43,20210517
AngularJS,400,74,105,43,20210518
AngularJS,402,74,105,43,20210519
AngularJS,402,74,105,43,20210520
AngularJS,402,74,105,43,20210521
AngularJS,404,74,105,43,20210522
AngularJS,404,74,105,43,20210523
AngularJS,404,74,105,43,20210524
AngularJS,404,74,105,43,20210525
AngularJS,404,74,105,43,20210526
AngularJS,405,74,105,43,20210527
AngularJS,405,74,105,43,20210528
AngularJS,405,74,105,43,20210529
AngularJS,405,74,105,43,20210530
AngularJS,405,74,105,43,20210531
AngularJS,406,74,105,43,20210602
AngularJS,407,74,105,43,20210603
AngularJS,407,74,105,43,20210604
AngularJS,408,74,105,43,20210605
AngularJS,408,74,105,43,20210606
AngularJS,408,74,105,43,20210607
AngularJS,409,74,105,43,20210608
AngularJS,409,74,105,43,20210609
AngularJS,410,74,105,43,20210610
AngularJS,410,74,105,43,20210611
AngularJS,411,74,105,43,20210613
AngularJS,411,74,105,43,20210614
AngularJS,411,74,105,43,20210615
AngularJS,411,74,105,43,20210616
AngularJS,411,74,105,43,20210617
AngularJS,411,74,105,43,20210618
AngularJS,411,74,105,43,20210619
AngularJS,411,74,105,43,20210620
AngularJS,411,74,105,43,20210621
AngularJS,411,74,105,43,20210622
