skill,count,avg_price,max_price,min_price,created_at
Bottle,1,75,75,75,20201121
Bottle,1,75,75,75,20201122
Bottle,1,75,75,75,20201123
Bottle,1,75,75,75,20201124
Bottle,1,75,75,75,20201125
Bottle,1,75,75,75,20201126
Bottle,1,75,75,75,20201127
Bottle,1,75,75,75,20201128
Bottle,1,75,75,75,20201204
Bottle,1,75,75,75,20201205
Bottle,1,75,75,75,20201206
Bottle,1,75,75,75,20201207
Bottle,1,75,75,75,20201208
Bottle,1,75,75,75,20201209
Bottle,1,75,75,75,20201210
Bottle,1,75,75,75,20201211
Bottle,1,75,75,75,20201212
Bottle,1,75,75,75,20201215
Bottle,1,75,75,75,20201220
Bottle,1,75,75,75,20201225
Bottle,2,75,75,75,20201230
Bottle,2,75,75,75,20210101
Bottle,2,75,75,75,20210105
Bottle,2,75,75,75,20210110
Bottle,2,75,75,75,20210115
Bottle,2,75,75,75,20210120
Bottle,2,75,75,75,20210125
Bottle,2,75,75,75,20210209
Bottle,2,75,75,75,20210210
Bottle,2,75,75,75,20210215
Bottle,2,75,75,75,20210220
Bottle,2,80,85,75,20210225
Bottle,2,80,85,75,20210301
Bottle,2,80,85,75,20210305
Bottle,2,80,85,75,20210310
Bottle,2,80,85,75,20210315
Bottle,2,80,85,75,20210320
Bottle,2,80,85,75,20210325
Bottle,2,80,85,75,20210330
Bottle,2,80,85,75,20210401
Bottle,2,80,85,75,20210405
Bottle,2,80,85,75,20210410
Bottle,2,80,85,75,20210415
Bottle,2,80,85,75,20210503
Bottle,2,80,85,75,20210504
Bottle,2,80,85,75,20210505
Bottle,2,80,85,75,20210506
Bottle,2,80,85,75,20210507
Bottle,2,80,85,75,20210508
Bottle,2,80,85,75,20210509
Bottle,2,80,85,75,20210510
Bottle,2,80,85,75,20210511
Bottle,2,80,85,75,20210512
Bottle,2,80,85,75,20210513
Bottle,2,80,85,75,20210514
Bottle,2,80,85,75,20210515
Bottle,2,80,85,75,20210516
Bottle,2,80,85,75,20210517
Bottle,2,80,85,75,20210518
Bottle,2,80,85,75,20210519
Bottle,2,80,85,75,20210520
Bottle,2,80,85,75,20210521
Bottle,2,80,85,75,20210522
Bottle,2,80,85,75,20210523
Bottle,2,80,85,75,20210524
Bottle,2,80,85,75,20210525
Bottle,2,80,85,75,20210526
Bottle,2,80,85,75,20210527
Bottle,2,80,85,75,20210528
Bottle,2,80,85,75,20210529
Bottle,2,80,85,75,20210530
Bottle,2,80,85,75,20210531
Bottle,2,80,85,75,20210602
Bottle,2,80,85,75,20210603
Bottle,2,80,85,75,20210604
Bottle,2,80,85,75,20210605
Bottle,2,80,85,75,20210606
Bottle,2,80,85,75,20210607
Bottle,2,80,85,75,20210608
Bottle,2,80,85,75,20210609
Bottle,2,80,85,75,20210610
Bottle,2,80,85,75,20210611
Bottle,2,80,85,75,20210613
Bottle,2,80,85,75,20210614
Bottle,2,80,85,75,20210615
Bottle,2,80,85,75,20210616
Bottle,2,80,85,75,20210617
Bottle,2,80,85,75,20210618
Bottle,2,80,85,75,20210619
Bottle,2,80,85,75,20210620
Bottle,2,80,85,75,20210621
Bottle,2,80,85,75,20210622
Bottle,2,80,85,75,20210623
Bottle,2,80,85,75,20210624
Bottle,2,80,85,75,20210625
Bottle,2,80,85,75,20210626
Bottle,2,80,85,75,20210627
Bottle,2,80,85,75,20210628
Bottle,2,80,85,75,20210629
Bottle,2,80,85,75,20210630
Bottle,2,80,85,75,20210702
Bottle,2,80,85,75,20210703
Bottle,2,80,85,75,20210704
Bottle,2,80,85,75,20210705
Bottle,2,80,85,75,20210706
Bottle,2,80,85,75,20210707
Bottle,2,80,85,75,20210708
Bottle,2,80,85,75,20210709
Bottle,2,80,85,75,20210710
Bottle,2,80,85,75,20210711
Bottle,2,80,85,75,20210713
Bottle,2,80,85,75,20210714
Bottle,2,80,85,75,20210715
Bottle,2,80,85,75,20210716
Bottle,2,80,85,75,20210717
Bottle,2,80,85,75,20210718
Bottle,2,80,85,75,20210719
Bottle,2,80,85,75,20210720
Bottle,2,80,85,75,20210721
Bottle,2,80,85,75,20210722
Bottle,2,80,85,75,20210723
Bottle,2,80,85,75,20210724
Bottle,2,80,85,75,20210725
Bottle,2,80,85,75,20210726
Bottle,2,80,85,75,20210727
Bottle,2,80,85,75,20210728
Bottle,2,80,85,75,20210729
Bottle,2,80,85,75,20210730
Bottle,2,80,85,75,20210731
Bottle,2,80,85,75,20210802
Bottle,2,80,85,75,20210803
Bottle,2,80,85,75,20210804
Bottle,2,80,85,75,20210805
Bottle,2,80,85,75,20210806
Bottle,2,80,85,75,20210807
Bottle,2,80,85,75,20210808
Bottle,2,80,85,75,20210809
Bottle,2,80,85,75,20210810
Bottle,2,80,85,75,20210812
Bottle,2,80,85,75,20210814
Bottle,2,80,85,75,20210815
Bottle,2,80,85,75,20210816
Bottle,2,80,85,75,20210817
Bottle,2,80,85,75,20210818
Bottle,2,80,85,75,20210819
Bottle,2,80,85,75,20210820
Bottle,2,80,85,75,20210821
Bottle,2,80,85,75,20210822
Bottle,2,80,85,75,20210823
