skill,count,avg_price,max_price,min_price,created_at
Liferay,1,70,70,70,20201121
Liferay,1,70,70,70,20201122
Liferay,1,70,70,70,20201123
Liferay,1,70,70,70,20201124
Liferay,1,70,70,70,20201125
Liferay,1,70,70,70,20201126
Liferay,1,70,70,70,20201127
Liferay,1,70,70,70,20201128
Liferay,1,70,70,70,20201204
Liferay,1,70,70,70,20201205
Liferay,1,70,70,70,20201206
Liferay,1,70,70,70,20201207
Liferay,1,70,70,70,20201208
Liferay,1,70,70,70,20201209
Liferay,1,70,70,70,20201210
Liferay,1,70,70,70,20201211
Liferay,1,70,70,70,20201212
Liferay,1,70,70,70,20201215
Liferay,1,70,70,70,20201220
Liferay,1,70,70,70,20201225
Liferay,1,70,70,70,20201230
Liferay,1,70,70,70,20210101
Liferay,1,70,70,70,20210105
Liferay,1,70,70,70,20210110
