skill,count,avg_price,max_price,min_price,created_at
MVC,69,68,95,37,20201121
MVC,69,68,95,37,20201122
MVC,69,68,95,37,20201123
MVC,69,68,95,37,20201124
MVC,69,68,95,37,20201125
MVC,69,68,95,37,20201126
MVC,69,68,95,37,20201127
MVC,69,68,95,37,20201128
MVC,71,68,95,37,20201204
MVC,71,68,95,37,20201205
MVC,71,68,95,37,20201206
MVC,71,68,95,37,20201207
MVC,71,68,95,37,20201208
MVC,71,68,95,37,20201209
MVC,71,68,95,37,20201210
MVC,71,68,95,37,20201211
MVC,71,68,95,37,20201212
MVC,71,68,95,37,20201215
MVC,70,68,95,37,20201220
MVC,70,68,95,37,20201225
MVC,70,68,95,37,20201230
MVC,70,68,95,37,20210101
MVC,70,68,95,37,20210105
MVC,70,68,95,37,20210110
MVC,71,68,95,37,20210115
MVC,71,68,95,37,20210120
MVC,71,68,95,37,20210125
MVC,71,68,95,37,20210209
MVC,71,68,95,37,20210210
MVC,71,68,95,37,20210215
MVC,71,69,105,37,20210220
MVC,72,69,105,37,20210225
MVC,72,69,105,37,20210301
MVC,72,69,105,37,20210305
MVC,72,69,105,37,20210310
MVC,75,68,105,37,20210315
MVC,76,68,105,37,20210320
MVC,76,68,105,37,20210325
MVC,76,68,105,37,20210330
MVC,126,72,105,37,20210401
MVC,126,72,105,37,20210405
MVC,126,72,105,37,20210410
MVC,126,72,105,37,20210415
MVC,128,71,105,37,20210503
MVC,128,71,105,37,20210504
MVC,128,71,105,37,20210505
MVC,128,71,105,37,20210506
MVC,128,71,105,37,20210507
MVC,128,71,105,37,20210508
MVC,128,71,105,37,20210509
MVC,128,71,105,37,20210510
MVC,128,71,105,37,20210511
MVC,128,71,105,37,20210512
MVC,128,71,105,37,20210513
MVC,128,71,105,37,20210514
MVC,128,71,105,37,20210515
MVC,128,71,105,37,20210516
MVC,128,71,105,37,20210517
MVC,128,71,105,37,20210518
