skill,count,avg_price,max_price,min_price,created_at
MyBatis,61,71,85,55,20201121
MyBatis,61,71,85,55,20201122
MyBatis,61,71,85,55,20201123
MyBatis,61,71,85,55,20201124
MyBatis,61,71,85,55,20201125
MyBatis,61,71,85,55,20201126
MyBatis,62,71,85,55,20201127
MyBatis,63,71,85,55,20201128
MyBatis,64,70,85,55,20201204
MyBatis,64,70,85,55,20201205
MyBatis,64,70,85,55,20201206
MyBatis,64,70,85,55,20201207
MyBatis,64,70,85,55,20201208
MyBatis,65,70,85,55,20201209
MyBatis,65,70,85,55,20201210
MyBatis,65,70,85,55,20201211
MyBatis,65,70,85,55,20201212
MyBatis,65,70,85,55,20201215
MyBatis,65,70,85,55,20201220
MyBatis,65,70,85,55,20201225
MyBatis,65,70,85,55,20201230
MyBatis,65,70,85,55,20210101
MyBatis,65,70,85,55,20210105
MyBatis,66,70,85,55,20210110
MyBatis,66,70,85,55,20210115
MyBatis,66,70,85,55,20210120
MyBatis,66,70,85,55,20210125
MyBatis,67,70,85,55,20210209
