skill,count,avg_price,max_price,min_price,created_at
Padrino,2,82,85,80,20201121
Padrino,2,82,85,80,20201122
Padrino,2,82,85,80,20201123
Padrino,2,82,85,80,20201124
Padrino,2,82,85,80,20201125
Padrino,2,82,85,80,20201126
Padrino,2,82,85,80,20201127
Padrino,2,82,85,80,20201128
Padrino,2,82,85,80,20201204
Padrino,2,82,85,80,20201205
Padrino,2,82,85,80,20201206
Padrino,2,82,85,80,20201207
Padrino,2,82,85,80,20201208
Padrino,2,82,85,80,20201209
Padrino,2,82,85,80,20201210
Padrino,2,82,85,80,20201211
Padrino,2,82,85,80,20201212
Padrino,2,82,85,80,20201215
Padrino,2,82,85,80,20201220
Padrino,2,82,85,80,20201225
Padrino,2,82,85,80,20201230
Padrino,2,82,85,80,20210101
Padrino,2,82,85,80,20210105
Padrino,2,82,85,80,20210110
Padrino,2,82,85,80,20210115
Padrino,2,82,85,80,20210120
Padrino,2,82,85,80,20210125
Padrino,2,82,85,80,20210209
Padrino,2,82,85,80,20210210
Padrino,2,82,85,80,20210215
Padrino,2,82,85,80,20210220
Padrino,2,82,85,80,20210225
Padrino,2,82,85,80,20210301
Padrino,2,82,85,80,20210305
Padrino,2,82,85,80,20210310
Padrino,2,82,85,80,20210315
Padrino,2,82,85,80,20210320
Padrino,2,82,85,80,20210325
Padrino,2,82,85,80,20210330
Padrino,6,82,85,75,20210401
Padrino,6,82,85,75,20210405
Padrino,6,82,85,75,20210410
Padrino,6,82,85,75,20210415
Padrino,6,82,85,75,20210503
Padrino,6,82,85,75,20210504
Padrino,6,82,85,75,20210505
Padrino,6,82,85,75,20210506
Padrino,6,82,85,75,20210507
Padrino,6,82,85,75,20210508
Padrino,6,82,85,75,20210509
Padrino,6,82,85,75,20210510
Padrino,6,82,85,75,20210511
Padrino,6,82,85,75,20210512
Padrino,6,82,85,75,20210513
Padrino,6,82,85,75,20210514
Padrino,6,82,85,75,20210515
Padrino,6,82,85,75,20210516
Padrino,6,82,85,75,20210517
Padrino,6,82,85,75,20210518
Padrino,6,82,85,75,20210519
Padrino,6,82,85,75,20210520
Padrino,6,82,85,75,20210521
Padrino,6,82,85,75,20210522
Padrino,6,82,85,75,20210523
Padrino,6,82,85,75,20210524
Padrino,6,82,85,75,20210525
Padrino,6,82,85,75,20210526
Padrino,6,82,85,75,20210527
Padrino,6,82,85,75,20210528
Padrino,6,82,85,75,20210529
Padrino,6,82,85,75,20210530
Padrino,6,82,85,75,20210531
Padrino,6,82,85,75,20210602
Padrino,6,82,85,75,20210603
Padrino,6,82,85,75,20210604
Padrino,6,82,85,75,20210605
Padrino,6,82,85,75,20210606
Padrino,6,82,85,75,20210607
Padrino,6,82,85,75,20210608
Padrino,6,82,85,75,20210609
Padrino,6,82,85,75,20210610
Padrino,6,82,85,75,20210611
Padrino,6,82,85,75,20210613
Padrino,6,82,85,75,20210614
Padrino,6,82,85,75,20210615
Padrino,6,82,85,75,20210616
Padrino,6,82,85,75,20210617
Padrino,6,82,85,75,20210618
Padrino,6,82,85,75,20210619
Padrino,6,82,85,75,20210620
Padrino,6,82,85,75,20210621
Padrino,6,82,85,75,20210622
Padrino,6,82,85,75,20210623
Padrino,6,82,85,75,20210624
Padrino,6,82,85,75,20210625
Padrino,6,82,85,75,20210626
Padrino,6,82,85,75,20210627
Padrino,6,82,85,75,20210628
Padrino,6,82,85,75,20210629
Padrino,6,82,85,75,20210630
