skill,count,avg_price,max_price,min_price,created_at
Rails,237,81,115,45,20201121
Rails,237,81,115,45,20201122
Rails,237,81,115,45,20201123
Rails,237,81,115,45,20201124
Rails,242,81,115,45,20201125
Rails,243,81,115,45,20201126
Rails,247,81,115,45,20201127
Rails,252,80,115,45,20201128
Rails,260,80,115,45,20201204
Rails,262,80,115,45,20201205
Rails,262,80,115,45,20201206
Rails,262,80,115,45,20201207
Rails,263,81,115,45,20201208
Rails,263,81,115,45,20201209
Rails,266,80,115,45,20201210
Rails,268,80,115,45,20201211
Rails,271,80,115,45,20201212
Rails,271,80,115,45,20201215
Rails,282,80,115,45,20201220
Rails,286,80,115,45,20201225
Rails,288,80,115,45,20201230
Rails,288,80,115,45,20210101
Rails,288,80,115,45,20210105
Rails,294,80,115,45,20210110
Rails,301,80,115,45,20210115
