skill,count,avg_price,max_price,min_price,created_at
Sinatra,6,78,85,75,20201121
Sinatra,6,78,85,75,20201122
Sinatra,6,78,85,75,20201123
Sinatra,6,78,85,75,20201124
Sinatra,6,78,85,75,20201125
Sinatra,6,78,85,75,20201126
Sinatra,6,78,85,75,20201127
Sinatra,6,78,85,75,20201128
Sinatra,6,78,85,75,20201204
Sinatra,6,78,85,75,20201205
Sinatra,6,78,85,75,20201206
Sinatra,6,78,85,75,20201207
Sinatra,6,78,85,75,20201208
Sinatra,6,78,85,75,20201209
Sinatra,6,78,85,75,20201210
Sinatra,6,78,85,75,20201211
Sinatra,6,78,85,75,20201212
Sinatra,6,78,85,75,20201215
Sinatra,6,78,85,75,20201220
Sinatra,6,78,85,75,20201225
Sinatra,6,78,85,75,20201230
Sinatra,6,78,85,75,20210101
Sinatra,6,78,85,75,20210105
Sinatra,6,78,85,75,20210110
Sinatra,6,78,85,75,20210115
Sinatra,6,78,85,75,20210120
Sinatra,6,78,85,75,20210125
Sinatra,6,78,85,75,20210209
Sinatra,6,78,85,75,20210210
Sinatra,6,78,85,75,20210215
Sinatra,6,78,85,75,20210220
Sinatra,6,78,85,75,20210225
Sinatra,6,78,85,75,20210301
Sinatra,6,78,85,75,20210305
Sinatra,6,78,85,75,20210310
Sinatra,6,78,85,75,20210315
Sinatra,6,78,85,75,20210320
Sinatra,6,78,85,75,20210325
Sinatra,6,78,85,75,20210330
Sinatra,12,78,95,65,20210401
Sinatra,12,78,95,65,20210405
Sinatra,12,78,95,65,20210410
Sinatra,12,78,95,65,20210415
Sinatra,12,78,95,65,20210503
Sinatra,12,78,95,65,20210504
Sinatra,12,78,95,65,20210505
Sinatra,12,78,95,65,20210506
Sinatra,12,78,95,65,20210507
Sinatra,12,78,95,65,20210508
Sinatra,12,78,95,65,20210509
Sinatra,12,78,95,65,20210510
Sinatra,12,78,95,65,20210511
Sinatra,12,78,95,65,20210512
Sinatra,12,78,95,65,20210513
Sinatra,12,78,95,65,20210514
Sinatra,12,78,95,65,20210515
Sinatra,12,78,95,65,20210516
Sinatra,12,78,95,65,20210517
Sinatra,12,78,95,65,20210518
Sinatra,12,78,95,65,20210519
Sinatra,12,78,95,65,20210520
Sinatra,12,78,95,65,20210521
