skill,count,avg_price,max_price,min_price,created_at
Spark,19,82,95,55,20201121
Spark,19,82,95,55,20201122
Spark,19,82,95,55,20201123
Spark,19,82,95,55,20201124
Spark,19,82,95,55,20201125
Spark,19,82,95,55,20201126
Spark,19,82,95,55,20201127
Spark,19,82,95,55,20201128
Spark,19,82,95,55,20201204
Spark,19,82,95,55,20201205
Spark,19,82,95,55,20201206
Spark,19,82,95,55,20201207
Spark,19,82,95,55,20201208
Spark,19,82,95,55,20201209
Spark,19,82,95,55,20201210
Spark,19,82,95,55,20201211
Spark,19,82,95,55,20201212
Spark,19,82,95,55,20201215
Spark,19,82,95,55,20201220
Spark,19,82,95,55,20201225
Spark,19,82,95,55,20201230
Spark,19,82,95,55,20210101
Spark,19,82,95,55,20210105
Spark,19,82,95,55,20210110
Spark,19,82,95,55,20210115
Spark,20,83,95,55,20210120
Spark,20,83,95,55,20210125
Spark,21,82,95,55,20210209
Spark,21,82,95,55,20210210
Spark,22,81,95,55,20210215
Spark,22,81,95,55,20210220
Spark,22,81,95,55,20210225
Spark,22,81,95,55,20210301
Spark,22,81,95,55,20210305
Spark,22,81,95,55,20210310
Spark,22,81,95,55,20210315
Spark,22,81,95,55,20210320
Spark,22,81,95,55,20210325
Spark,23,81,95,55,20210330
Spark,48,78,95,52,20210401
Spark,48,78,95,52,20210405
Spark,48,78,95,52,20210410
Spark,48,78,95,52,20210415
Spark,48,78,95,52,20210503
Spark,48,78,95,52,20210504
Spark,48,78,95,52,20210505
Spark,48,78,95,52,20210506
Spark,48,78,95,52,20210507
Spark,48,78,95,52,20210508
Spark,48,78,95,52,20210509
Spark,48,78,95,52,20210510
Spark,48,78,95,52,20210511
Spark,48,78,95,52,20210512
Spark,48,78,95,52,20210513
Spark,48,78,95,52,20210514
Spark,48,78,95,52,20210515
Spark,48,78,95,52,20210516
Spark,48,78,95,52,20210517
Spark,48,78,95,52,20210518
Spark,48,78,95,52,20210519
Spark,48,78,95,52,20210520
Spark,48,78,95,52,20210521
Spark,48,78,95,52,20210522
Spark,48,78,95,52,20210523
Spark,48,78,95,52,20210524
Spark,48,78,95,52,20210525
Spark,48,78,95,52,20210526
Spark,48,78,95,52,20210527
Spark,48,78,95,52,20210528
Spark,48,78,95,52,20210529
Spark,48,78,95,52,20210530
Spark,48,78,95,52,20210531
Spark,48,78,95,52,20210602
Spark,48,78,95,52,20210603
Spark,48,78,95,52,20210604
Spark,48,78,95,52,20210605
Spark,48,78,95,52,20210606
Spark,48,78,95,52,20210607
Spark,48,78,95,52,20210608
Spark,48,78,95,52,20210609
Spark,48,78,95,52,20210610
Spark,48,78,95,52,20210611
Spark,48,78,95,52,20210613
Spark,48,78,95,52,20210614
Spark,48,78,95,52,20210615
Spark,48,78,95,52,20210616
Spark,48,78,95,52,20210617
Spark,48,78,95,52,20210618
Spark,48,78,95,52,20210619
Spark,48,78,95,52,20210620
Spark,48,78,95,52,20210621
Spark,48,78,95,52,20210622
Spark,48,78,95,52,20210623
Spark,48,78,95,52,20210624
Spark,48,78,95,52,20210625
Spark,48,78,95,52,20210626
Spark,48,78,95,52,20210627
Spark,48,78,95,52,20210628
Spark,48,78,95,52,20210629
Spark,48,78,95,52,20210630
Spark,48,78,95,52,20210702
Spark,48,78,95,52,20210703
Spark,48,78,95,52,20210704
Spark,48,78,95,52,20210705
Spark,48,78,95,52,20210706
Spark,48,78,95,52,20210707
Spark,48,78,95,52,20210708
Spark,48,78,95,52,20210709
Spark,48,78,95,52,20210710
Spark,48,78,95,52,20210711
Spark,48,78,95,52,20210713
Spark,48,78,95,52,20210714
Spark,48,78,95,52,20210715
Spark,47,79,95,52,20210716
Spark,47,79,95,52,20210717
Spark,47,79,95,52,20210718
Spark,47,79,95,52,20210719
Spark,47,79,95,52,20210720
Spark,46,78,95,52,20210721
Spark,47,79,95,52,20210722
Spark,47,79,95,52,20210723
Spark,47,79,95,52,20210724
Spark,47,79,95,52,20210725
Spark,47,79,95,52,20210726
Spark,47,79,95,52,20210727
Spark,46,78,95,52,20210728
Spark,46,78,95,52,20210729
Spark,46,78,95,52,20210730
Spark,46,78,95,52,20210731
Spark,46,78,95,52,20210802
Spark,46,78,95,52,20210803
Spark,46,78,95,52,20210804
Spark,46,78,95,52,20210805
Spark,46,78,95,52,20210806
Spark,46,78,95,52,20210807
Spark,46,78,95,52,20210808
Spark,46,78,95,52,20210809
