skill,count,avg_price,max_price,min_price,created_at
Spring,362,71,115,45,20201121
Spring,362,71,115,45,20201122
Spring,362,71,115,45,20201123
Spring,362,71,115,45,20201124
Spring,368,71,115,45,20201125
Spring,374,71,115,45,20201126
Spring,379,71,115,45,20201127
Spring,380,71,115,45,20201128
Spring,386,71,115,45,20201204
Spring,391,71,115,45,20201205
Spring,391,71,115,45,20201206
Spring,391,71,115,45,20201207
Spring,390,71,115,45,20201208
Spring,393,71,115,45,20201209
Spring,395,71,115,45,20201210
Spring,397,71,115,45,20201211
Spring,398,71,115,45,20201212
Spring,400,71,115,45,20201215
Spring,409,71,115,45,20201220
Spring,411,71,115,45,20201225
Spring,411,71,115,45,20201230
Spring,411,71,115,45,20210101
Spring,412,70,115,45,20210105
Spring,417,70,115,45,20210110
Spring,419,70,115,45,20210115
Spring,427,70,115,45,20210120
Spring,428,70,115,45,20210125
Spring,449,70,115,45,20210209
Spring,450,70,115,45,20210210
Spring,451,70,115,45,20210215
Spring,459,70,115,45,20210220
Spring,459,70,115,45,20210225
Spring,460,70,115,45,20210301
Spring,469,70,115,45,20210305
Spring,472,70,115,45,20210310
Spring,476,70,115,45,20210315
Spring,484,70,115,45,20210320
Spring,486,70,115,45,20210325
Spring,490,70,115,45,20210330
Spring,929,70,115,45,20210401
Spring,929,70,115,45,20210405
Spring,934,70,115,45,20210410
Spring,935,70,115,45,20210415
Spring,942,70,115,45,20210503
Spring,942,70,115,45,20210504
Spring,942,70,115,45,20210505
Spring,942,70,115,45,20210506
Spring,943,70,115,45,20210507
Spring,943,70,115,45,20210508
Spring,943,70,115,45,20210509
Spring,943,70,115,45,20210510
Spring,943,70,115,45,20210511
Spring,943,70,115,45,20210512
Spring,945,70,115,45,20210513
Spring,946,70,115,45,20210514
Spring,948,70,115,45,20210515
Spring,948,70,115,45,20210516
Spring,948,70,115,45,20210517
Spring,952,70,115,45,20210518
Spring,954,70,115,45,20210519
Spring,955,70,115,45,20210520
Spring,959,70,115,45,20210521
Spring,960,70,115,45,20210522
Spring,960,70,115,45,20210523
Spring,960,70,115,45,20210524
Spring,960,70,115,45,20210525
Spring,961,70,115,45,20210526
Spring,964,70,115,45,20210527
Spring,964,70,115,45,20210528
Spring,964,70,115,45,20210529
Spring,964,70,115,45,20210530
Spring,964,70,115,45,20210531
Spring,966,70,115,45,20210602
Spring,968,70,115,45,20210603
Spring,968,70,115,45,20210604
Spring,969,70,115,45,20210605
Spring,969,70,115,45,20210606
Spring,969,70,115,45,20210607
Spring,969,70,115,45,20210608
Spring,970,70,115,45,20210609
Spring,972,70,115,45,20210610
Spring,978,70,115,45,20210611
Spring,979,70,115,45,20210613
Spring,979,70,115,45,20210614
Spring,981,70,115,45,20210615
Spring,981,70,115,45,20210616
Spring,982,70,115,45,20210617
Spring,983,70,115,45,20210618
Spring,984,70,115,45,20210619
Spring,984,70,115,45,20210620
Spring,984,70,115,45,20210621
Spring,984,70,115,45,20210622
Spring,984,70,115,45,20210623
Spring,986,70,115,45,20210624
Spring,991,70,115,45,20210625
Spring,990,70,115,45,20210626
Spring,990,70,115,45,20210627
Spring,990,70,115,45,20210628
Spring,993,70,115,45,20210629
Spring,994,70,115,45,20210630
Spring,999,70,115,45,20210702
Spring,999,70,115,45,20210703
Spring,999,70,115,45,20210704
