skill,count,avg_price,max_price,min_price,created_at
Struts,129,67,95,45,20201121
Struts,129,67,95,45,20201122
Struts,129,67,95,45,20201123
Struts,129,67,95,45,20201124
Struts,130,67,95,45,20201125
Struts,135,67,95,45,20201126
Struts,136,67,95,45,20201127
Struts,137,67,95,45,20201128
Struts,138,67,95,45,20201204
Struts,138,67,95,45,20201205
Struts,138,67,95,45,20201206
Struts,138,67,95,45,20201207
Struts,138,67,95,45,20201208
Struts,138,67,95,45,20201209
Struts,139,67,95,45,20201210
Struts,139,67,95,45,20201211
Struts,139,67,95,45,20201212
Struts,140,67,95,45,20201215
Struts,143,67,95,45,20201220
Struts,144,67,95,45,20201225
Struts,145,67,95,45,20201230
Struts,145,67,95,45,20210101
Struts,146,67,95,45,20210105
Struts,148,67,95,45,20210110
Struts,150,67,95,45,20210115
Struts,151,66,95,45,20210120
Struts,152,66,95,45,20210125
Struts,158,66,95,45,20210209
Struts,159,66,95,45,20210210
Struts,159,66,95,45,20210215
Struts,160,66,95,45,20210220
Struts,161,66,95,45,20210225
Struts,161,66,95,45,20210301
Struts,164,66,95,45,20210305
Struts,166,66,95,45,20210310
Struts,168,66,95,45,20210315
Struts,170,66,95,45,20210320
Struts,170,66,95,45,20210325
Struts,172,66,95,45,20210330
Struts,331,67,95,45,20210401
Struts,331,67,95,45,20210405
Struts,331,67,95,45,20210410
Struts,331,67,95,45,20210415
Struts,333,67,95,45,20210503
Struts,333,67,95,45,20210504
Struts,333,67,95,45,20210505
Struts,333,67,95,45,20210506
Struts,334,67,95,45,20210507
Struts,334,67,95,45,20210508
Struts,334,67,95,45,20210509
Struts,334,67,95,45,20210510
Struts,334,67,95,45,20210511
Struts,334,67,95,45,20210512
Struts,335,67,95,45,20210513
Struts,336,67,95,45,20210514
Struts,336,67,95,45,20210515
Struts,336,67,95,45,20210516
Struts,336,67,95,45,20210517
Struts,337,67,95,45,20210518
Struts,337,67,95,45,20210519
Struts,337,67,95,45,20210520
Struts,337,67,95,45,20210521
Struts,337,67,95,45,20210522
Struts,337,67,95,45,20210523
Struts,337,67,95,45,20210524
Struts,337,67,95,45,20210525
Struts,337,67,95,45,20210526
Struts,337,67,95,45,20210527
Struts,337,67,95,45,20210528
Struts,337,67,95,45,20210529
Struts,337,67,95,45,20210530
Struts,337,67,95,45,20210531
Struts,337,67,95,45,20210602
Struts,337,67,95,45,20210603
Struts,337,67,95,45,20210604
Struts,338,67,95,45,20210605
Struts,338,67,95,45,20210606
Struts,338,67,95,45,20210607
Struts,338,67,95,45,20210608
Struts,339,67,95,45,20210609
Struts,339,67,95,45,20210610
Struts,339,67,95,45,20210611
Struts,339,67,95,45,20210613
Struts,339,67,95,45,20210614
Struts,340,67,95,45,20210615
Struts,340,67,95,45,20210616
Struts,340,67,95,45,20210617
Struts,340,67,95,45,20210618
Struts,340,67,95,45,20210619
Struts,340,67,95,45,20210620
Struts,340,67,95,45,20210621
Struts,340,67,95,45,20210622
Struts,340,67,95,45,20210623
Struts,340,67,95,45,20210624
Struts,340,67,95,45,20210625
Struts,340,67,95,45,20210626
Struts,340,67,95,45,20210627
Struts,340,67,95,45,20210628
Struts,340,67,95,45,20210629
Struts,340,67,95,45,20210630
Struts,341,67,95,45,20210702
Struts,342,67,95,45,20210703
