created_at,skill,count,avg_price,max_price,min_price
20201211,C#,758,68,115,35
20201211,VBA,173,60,145,30
20201211,Transact-SQL,6,65,75,55
20201211,JSP,57,68,105,55
20201211,C言語,283,68,115,35
20201211,UML,7,70,85,50
20201211,VC++,30,65,90,52
20201211,Shell,198,64,95,45
20201211,R言語,19,78,95,65
20201211,Sass,66,72,115,45
20201211,C++,400,71,125,45
20201211,SQL,941,65,145,33
20201211,Objective-C,259,76,115,40
20201211,Go,379,81,125,39
20201211,Perl,109,73,110,50
20201211,Scala,119,83,115,55
20201211,C#.NET,163,62,80,32
20201211,VBScript,45,62,75,45
20201211,CSS,695,70,125,30
20201211,ABAP,12,67,80,55
20201211,CoffeeScript,16,81,95,65
20201211,HTML5,314,72,115,35
20201211,PHP,1638,72,145,35
20201211,ASP.NET,177,65,95,48
20201211,Apex,51,79,135,55
20201211,JavaScript,1859,72,125,20
20201211,HTML,719,69,125,30
20201211,VB,94,62,85,40
20201211,COBOL,85,61,95,37
20201211,PL/SQL,159,62,85,45
20201211,LESS,9,74,115,55
20201211,Python,727,77,145,32
20201211,Swift,431,80,125,50
20201211,VB.NET,307,62,85,40
20201211,VC,10,61,66,50
20201211,Smalltalk,2,75,80,70
20201211,Java,2619,69,145,25
20201211,CSS3,216,75,115,35
20201211,Kotlin,289,83,125,45
20201211,Lua,6,73,80,65
20201211,Ruby,683,80,125,39
20201211,SAS,12,61,75,50
