skill,count,avg_price,max_price,min_price,created_at
ASP.NET,161,65,95,48,20201121
ASP.NET,161,65,95,48,20201122
ASP.NET,161,65,95,48,20201123
ASP.NET,161,65,95,48,20201124
ASP.NET,162,65,95,48,20201125
ASP.NET,162,65,95,48,20201126
ASP.NET,165,65,95,48,20201127
ASP.NET,168,65,95,48,20201128
ASP.NET,168,65,95,48,20201129
ASP.NET,168,65,95,48,20201130
ASP.NET,169,65,95,48,20201201
ASP.NET,171,65,95,48,20201202
ASP.NET,172,65,95,48,20201203
ASP.NET,172,65,95,48,20201204
ASP.NET,173,65,95,48,20201205
ASP.NET,173,65,95,48,20201206
ASP.NET,173,65,95,48,20201207
ASP.NET,173,65,95,48,20201208
ASP.NET,173,65,95,48,20201209
ASP.NET,174,65,95,48,20201210
ASP.NET,177,65,95,48,20201211
ASP.NET,178,65,95,48,20201212
ASP.NET,178,65,95,48,20201215
ASP.NET,181,64,95,48,20201220
ASP.NET,183,64,95,48,20201225
ASP.NET,183,64,95,48,20201230
ASP.NET,183,64,95,48,20210101
ASP.NET,184,64,95,48,20210105
ASP.NET,190,65,95,48,20210110
ASP.NET,191,65,95,48,20210115
ASP.NET,193,65,95,48,20210120
ASP.NET,195,65,95,48,20210125
ASP.NET,202,65,95,48,20210209
ASP.NET,203,65,95,48,20210210
ASP.NET,207,64,95,48,20210215
ASP.NET,208,64,95,48,20210220
ASP.NET,208,64,95,48,20210225
ASP.NET,209,64,95,48,20210301
ASP.NET,210,64,95,48,20210305
ASP.NET,215,64,95,48,20210310
ASP.NET,218,64,95,48,20210315
ASP.NET,223,64,95,48,20210320
ASP.NET,226,64,95,48,20210325
ASP.NET,228,64,95,48,20210330
ASP.NET,343,66,95,43,20210401
ASP.NET,343,66,95,43,20210405
ASP.NET,343,66,95,43,20210410
ASP.NET,346,66,95,43,20210415
ASP.NET,348,66,95,43,20210503
ASP.NET,348,66,95,43,20210504
ASP.NET,348,66,95,43,20210505
ASP.NET,348,66,95,43,20210506
ASP.NET,348,66,95,43,20210507
ASP.NET,349,66,95,43,20210508
ASP.NET,349,66,95,43,20210509
ASP.NET,349,66,95,43,20210510
ASP.NET,350,66,95,43,20210511
ASP.NET,350,66,95,43,20210512
ASP.NET,350,66,95,43,20210513
ASP.NET,350,66,95,43,20210514
ASP.NET,350,66,95,43,20210515
ASP.NET,350,66,95,43,20210516
ASP.NET,350,66,95,43,20210517
ASP.NET,351,66,95,43,20210518
ASP.NET,353,66,95,43,20210519
ASP.NET,353,66,95,43,20210520
ASP.NET,354,66,95,43,20210521
ASP.NET,354,66,95,43,20210522
ASP.NET,354,66,95,43,20210523
ASP.NET,354,66,95,43,20210524
ASP.NET,354,66,95,43,20210525
ASP.NET,354,66,95,43,20210526
ASP.NET,354,66,95,43,20210527
ASP.NET,354,66,95,43,20210528
ASP.NET,354,66,95,43,20210529
ASP.NET,354,66,95,43,20210530
ASP.NET,354,66,95,43,20210531
ASP.NET,354,66,95,43,20210602
ASP.NET,354,66,95,43,20210603
ASP.NET,354,66,95,43,20210604
ASP.NET,354,66,95,43,20210605
ASP.NET,354,66,95,43,20210606
ASP.NET,354,66,95,43,20210607
